Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
fig|2518495.5.peg.719	QCD42094.1|GH28	99.1	466	4	0	1	466	1	466	6.1e-242	840.9
fig|2518495.5.peg.720	QCD42095.1|GH105	99.5	376	2	0	1	376	1	376	3.0e-231	805.1
fig|2518495.5.peg.721	QCD42096.1|GH106	99.4	938	6	0	1	938	1	938	0.0e+00	1921.4
fig|2518495.5.peg.723	ADE82894.1|GH105|GH28	50.4	720	309	12	24	701	882	1595	1.4e-205	720.7
fig|2518495.5.peg.725	QCP72547.1|CE12	90.1	282	28	0	1	282	1	282	1.4e-148	530.0
fig|2518495.5.peg.775	QCD39202.1|CBM50	58.0	653	213	8	1	632	1	613	6.6e-207	724.9
fig|2518495.5.peg.777	QCP72891.1|PL1_2	49.7	582	263	8	1	559	1	575	8.4e-153	545.8
fig|2518495.5.peg.778	QCD42643.1|PL1_2	99.8	548	1	0	239	786	1	548	0.0e+00	1109.4
fig|2518495.5.peg.803	QGN28876.1|GT119	46.2	491	243	8	17	499	226	703	3.5e-114	416.8
fig|2518495.5.peg.869	QCD41972.1|GH28	99.4	473	3	0	1	473	1	473	2.6e-280	968.4
fig|2518495.5.peg.872	QCD43668.1|CE7	99.5	432	2	0	2	433	1	432	4.0e-264	914.4
fig|2518495.5.peg.881	CCO12868.1|GH1	44.1	1439	506	16	13	1407	7	1191	0.0e+00	1117.4
fig|2518495.5.peg.919	11468|Collup1_GeneCatalog_proteins_20180803.aa.fasta|GT2	61.0	344	133	1	4	346	1785	2128	4.4e-120	435.6
fig|2518495.5.peg.932	QIM10189.1|PL1_2	51.8	877	405	10	1	869	1	867	6.3e-251	871.7
fig|2518495.5.peg.950	CAI32746.1|GT4	48.1	462	170	6	6	467	3	394	4.9e-114	416.0
fig|2518495.5.peg.955	QCD40988.1|GT5	99.3	274	2	0	1	274	1	274	1.6e-157	559.7
fig|2518495.5.peg.966	QCD40978.1|GH2	99.0	794	8	0	1	794	1	794	0.0e+00	1625.9
fig|2518495.5.peg.989	CAE6204650.1|GH28	50.3	600	290	3	2	594	745	1343	2.9e-172	609.8
fig|2518495.5.peg.1013	QCD43617.1|GT4	98.7	395	5	0	1	395	1	395	1.2e-230	803.1
fig|2518495.5.peg.1033	287449|Botdo1_1_GeneCatalog_proteins_20150128.aa.fasta|GT1	33.3	1104	617	23	11	1092	1072	2078	1.5e-172	611.7
fig|2518495.5.peg.1050	UKK65395.1|GH9	34.8	824	432	23	21	830	567	1299	9.9e-118	429.1
fig|2518495.5.peg.1062	QCD43280.1|GH23	99.7	328	1	0	1	328	1	328	1.0e-187	660.2
fig|2518495.5.peg.1084	AMJ18631.1|GT2	44.5	1213	614	12	4	1204	2	1167	6.5e-288	995.0
fig|2518495.5.peg.1090	CAG7868751.1|GT106	51.8	529	246	2	4	531	30	550	1.1e-152	544.7
fig|2518495.5.peg.1142	XAQ46651.1|GT2	48.3	478	230	4	1	478	1	461	4.8e-128	462.6
fig|2518495.5.peg.1144	QCD43115.1|GT2	100.0	317	0	0	1	317	1	317	2.4e-173	612.5
fig|2518495.5.peg.1158	QCD43102.1|GH23	98.5	462	7	0	1	462	1	462	4.0e-262	907.9
fig|2518495.5.peg.1167	AHC21644.1|GH1	48.9	517	261	1	3	519	8	521	1.5e-140	504.2
fig|2518495.5.peg.1195	QCP73636.1|GT0	61.6	398	146	2	1	392	28	424	1.6e-134	483.8
fig|2518495.5.peg.1201	QCD43054.1|GT113	98.6	345	5	0	1	345	1	345	2.7e-202	708.8
fig|2518495.5.peg.1212	201643|Melli1_GeneCatalog_proteins_20150227.aa.fasta|GT1	43.8	592	308	10	5	577	1316	1901	1.1e-121	441.8
fig|2518495.5.peg.1215	QCD43261.1|GT119	99.8	486	1	0	1	486	1	486	6.5e-263	910.6
fig|2518495.5.peg.1216	AIF26613.1|GT119	64.7	515	179	1	79	593	1	512	3.3e-203	712.6
fig|2518495.5.peg.1240	QCD43243.1|PL11_1	99.7	1199	4	0	1	1199	1	1199	0.0e+00	2434.1
fig|2518495.5.peg.1261	2074615|Phoaln1_GeneCatalog_proteins_20160826.aa.fasta|GT1	32.8	1264	680	29	34	1210	52	1233	2.8e-153	547.7
fig|2518495.5.peg.1272	QCD40782.1|CE12	75.9	527	127	0	19	545	4	530	3.2e-242	842.0
fig|2518495.5.peg.1300	CCO12112.1|GH13_31	67.8	419	134	1	3	420	4	422	6.4e-161	571.6
fig|2518495.5.peg.1336	QCD41345.1|GH51_2	99.5	657	3	0	1	657	1	657	0.0e+00	1360.5
fig|2518495.5.peg.1337	QCD41346.1|GH28	99.8	482	1	0	1	482	1	482	2.8e-266	921.8
fig|2518495.5.peg.1338	QCD43631.1|GT3	99.7	576	2	0	2	577	1	576	0.0e+00	1190.6
fig|2518495.5.peg.1339	QCD41347.1|GT35	100.0	852	0	0	1	852	1	852	0.0e+00	1761.5
fig|2518495.5.peg.1348	QCD41354.1|CBM91|GH43_10	98.3	532	9	0	1	532	1	532	0.0e+00	1120.9
fig|2518495.5.peg.1363	AXF51455.1|GH23	25.5	1982	1062	44	6	1894	1795	3454	4.8e-147	527.7
fig|2518495.5.peg.1441	7787|Pocchl1_GeneCatalog_proteins_20170916.aa.fasta|GH71	41.0	656	307	7	210	791	437	1086	6.2e-125	453.0
fig|2518495.5.peg.1453	QCD43358.1|GH105	99.8	431	1	0	1	431	7	437	4.9e-246	854.4
fig|2518495.5.peg.1454	QCD40374.1|GH3	87.0	856	109	2	1	855	1	855	0.0e+00	1532.3
fig|2518495.5.peg.1468	QCD43366.1|CE6|GH97	98.0	902	18	0	1	902	1	902	0.0e+00	1845.1
fig|2518495.5.peg.1469	QCD43724.1|GH5_21	97.3	670	18	0	1	670	1	670	0.0e+00	1388.2
fig|2518495.5.peg.1470	QCD43367.1|CBM6|GH43_29	99.1	460	4	0	1	460	1	460	9.2e-283	976.5
fig|2518495.5.peg.1471	EGK06004.1|CBM48|CE0|3.1.1.73	64.2	383	135	2	1	382	1	382	2.5e-148	529.6
fig|2518495.5.peg.1472	QCD43369.1|CBM6|GH43_29	100.0	441	0	0	1	441	1	441	8.8e-275	949.9
fig|2518495.5.peg.1473	QCD43370.1|GH31_4	99.4	821	5	0	1	821	1	821	0.0e+00	1707.2
fig|2518495.5.peg.1474	QCD43725.1|GH10	99.1	530	5	0	180	709	1	530	0.0e+00	1104.4
fig|2518495.5.peg.1480	QCD43376.1|CBM91|GH43_12	99.8	565	1	0	1	565	8	572	0.0e+00	1195.3
fig|2518495.5.peg.1481	QCD43377.1|CBM91|GH43_10	100.0	531	0	0	1	531	1	531	0.0e+00	1126.3
fig|2518495.5.peg.1512	AGL64345.1|GT2	49.8	582	287	3	454	1031	275	855	8.4e-151	539.3
fig|2518495.5.peg.1536	QCD41946.1|GT2	100.0	254	0	0	1	254	1	254	3.5e-143	511.9
fig|2518495.5.peg.1553	CAG7911095.1|GH5_11	39.5	899	498	16	12	871	587	1478	2.3e-186	657.1
fig|2518495.5.peg.1570	AWZ17133.1|GH13_30	33.4	1269	710	23	4	1249	406	1562	2.9e-185	654.1
fig|2518495.5.peg.1577	QCD38796.1|GH2	61.5	794	153	2	1	650	1	785	3.8e-290	1001.5
fig|2518495.5.peg.1584	QCD41582.1|GT2	99.7	316	1	0	1	316	1	316	1.2e-185	653.3
fig|2518495.5.peg.1601	QCD41568.1|CBM91|GH43_12	99.4	534	3	0	1	534	23	556	0.0e+00	1123.6
fig|2518495.5.peg.1652	WZL80548.1|CBM9	32.7	830	514	15	59	870	351	1153	1.0e-112	412.5
fig|2518495.5.peg.1654	QCD43615.1|GH29	99.5	423	2	0	20	442	1	423	8.6e-262	906.7
fig|2518495.5.peg.1656	QCD40914.1|GH127	99.3	695	5	0	1	695	1	695	0.0e+00	1446.0
fig|2518495.5.peg.1657	QCD40913.1|GH141	99.7	602	2	0	1	602	6	607	0.0e+00	1264.6
fig|2518495.5.peg.1658	QCD40912.1|GH78	99.6	734	3	0	1	734	1	734	0.0e+00	1535.4
fig|2518495.5.peg.1659	QCD40911.1|GH138	99.9	897	1	0	1	897	1	897	0.0e+00	1848.9
fig|2518495.5.peg.1660	QCD40910.1|CBM57|CBM97|GH137|GH2	99.4	1391	9	0	1	1391	1	1391	0.0e+00	2919.8
fig|2518495.5.peg.1661	QCD43614.1|GH2	99.6	1069	4	0	12	1080	1	1069	0.0e+00	2199.9
fig|2518495.5.peg.1662	QCD40909.1|GH2	99.9	946	1	0	1	946	1	946	0.0e+00	1990.3
fig|2518495.5.peg.1663	QCD40908.1|GH106	98.8	1066	13	0	1	1066	13	1078	0.0e+00	2187.5
fig|2518495.5.peg.1664	QCD40907.1|CE20	100.0	489	0	0	1	489	1	489	8.8e-292	1006.5
fig|2518495.5.peg.1665	QCD40906.1|GH139	98.4	760	12	0	1	760	1	760	0.0e+00	1590.1
fig|2518495.5.peg.1666	ALJ42138.1|GH2	71.7	855	233	2	30	876	29	882	0.0e+00	1311.6
fig|2518495.5.peg.1667	QJR72440.1|PL1_2	72.6	537	139	5	1	536	4	533	9.6e-223	777.3
fig|2518495.5.peg.1670	QCD40905.1|GH95	99.4	814	5	0	14	827	1	814	0.0e+00	1686.8
fig|2518495.5.peg.1671	QCD40904.1|GH140	99.8	481	1	0	1	481	1	481	1.0e-300	1036.2
fig|2518495.5.peg.1672	QCD40903.1|GH33|GH78	99.2	1301	10	0	1	1301	1	1301	0.0e+00	2657.9
fig|2518495.5.peg.1673	QCD43613.1|GH43_18	100.0	283	0	0	37	319	1	283	8.9e-168	594.0
fig|2518495.5.peg.1674	QCD40902.1|GH142|GH143	99.6	1107	4	0	1	1107	1	1107	0.0e+00	2350.1
fig|2518495.5.peg.1675	QQY43512.1|GH78	62.1	913	338	6	1	909	8	916	0.0e+00	1196.8
fig|2518495.5.peg.1676	QCD40901.1|CE19	98.7	446	6	0	1	446	1	446	6.6e-262	907.1
fig|2518495.5.peg.1678	QCD43612.1|CBM48|GH13_8	99.4	683	4	0	1	683	1	683	0.0e+00	1432.9
fig|2518495.5.peg.1680	QCD40899.1|GH28	100.0	438	0	0	1	438	1	438	5.3e-264	914.1
fig|2518495.5.peg.1722	QCD43163.1|GH146	99.4	790	5	0	1	790	1	790	0.0e+00	1633.2
fig|2518495.5.peg.1726	QCD43159.1|GH13_28	99.4	477	3	0	1	477	1	477	2.9e-287	991.5
fig|2518495.5.peg.1728	QCD43157.1|GT2	99.6	250	1	0	1	250	1	250	1.7e-142	509.6
fig|2518495.5.peg.1779	QCD41112.1|GT51	99.8	823	2	0	1	823	1	823	0.0e+00	1653.6
fig|2518495.5.peg.1813	CAI32746.1|GT4	48.8	428	180	4	6	433	3	391	1.8e-110	404.1
fig|2518495.5.peg.1821	UPS45226.1|GT4	58.5	366	152	0	1	366	371	736	1.4e-124	450.7
fig|2518495.5.peg.1913	AGK84773.1|GH28	99.6	477	2	0	1	477	1	477	2.3e-284	981.9
fig|2518495.5.peg.1916	CAD7252417.1|GH13_48	54.7	600	260	8	128	722	341	933	3.6e-167	593.2
fig|2518495.5.peg.1926	1161|Capcor1_GeneCatalog_proteins_20160826.aa.fasta|GH76	45.6	861	449	8	5	855	6	857	1.4e-202	711.1
fig|2518495.5.peg.1939	QCD42490.1|CE20	97.7	478	11	0	1	478	1	478	4.1e-286	987.6
fig|2518495.5.peg.1947	QCD42498.1|GH31	99.4	798	5	0	1	798	1	798	0.0e+00	1619.8
fig|2518495.5.peg.1958	QCD41142.1|CBM20|GH77	99.4	892	5	0	1	892	1	892	0.0e+00	1882.1
fig|2518495.5.peg.1961	QCD41145.1|CE0	99.7	1495	5	0	1	1495	1	1495	0.0e+00	2976.8
fig|2518495.5.peg.1962	QYO62262.1|GH13	63.0	346	126	1	1	346	1	344	2.2e-113	414.1
fig|2518495.5.peg.2025	QCD41615.1|CE4	100.0	205	0	0	1	205	1	205	1.7e-119	433.0
fig|2518495.5.peg.2078	QCD35499.1|GH0	96.1	206	8	0	1	206	1	206	3.2e-110	402.1
fig|2518495.5.peg.2105	QCP71829.1|GH36	87.6	727	90	0	9	735	10	736	0.0e+00	1346.6
fig|2518495.5.peg.2128	QCD42371.1|CBM48|GH13_47	98.4	684	11	0	167	850	1	684	0.0e+00	1367.8
fig|2518495.5.peg.2130	CAE6110940.1|CE8	44.0	546	282	10	26	563	257	786	3.1e-123	446.8
fig|2518495.5.peg.2139	CAD7235639.1|GT2	41.2	541	305	7	13	549	138	669	1.4e-110	404.8
fig|2518495.5.peg.2176	QCD41511.1|CE11	100.0	460	0	0	1	460	1	460	2.7e-266	921.8
fig|2518495.5.peg.2179	CAG7883609.1|GT1	56.9	900	355	6	2	899	171	1039	2.5e-284	982.6
fig|2518495.5.peg.2212	AGL63717.1|GT4	49.4	622	300	7	207	827	107	714	5.1e-165	586.3
fig|2518495.5.peg.2222	QCD43479.1|GT2	99.1	341	3	0	1	341	1	341	2.4e-203	712.2
fig|2518495.5.peg.2260	QCD42692.1|GH13_37	99.2	481	4	0	1	481	1	481	2.0e-288	995.3
fig|2518495.5.peg.2320	QCD41432.1|GH133	99.7	644	2	0	1	644	1	644	0.0e+00	1340.5
fig|2518495.5.peg.2321	QCD41433.1|GT4	99.8	419	1	0	1	419	1	419	1.7e-251	872.5
fig|2518495.5.peg.2322	QCD41434.1|GH57	100.0	484	0	0	1	484	1	484	6.3e-282	973.8
fig|2518495.5.peg.2323	QCD41435.1|GH16_3	100.0	271	0	0	1	271	1	271	1.6e-165	586.3
fig|2518495.5.peg.2330	QCD41438.1|GH28	99.4	505	3	0	1	505	1	505	1.5e-278	962.6
fig|2518495.5.peg.2355	ASV45029.1|GH23	27.0	1746	1070	52	11	1656	1566	3206	1.4e-150	539.3
fig|2518495.5.peg.2426	UFH52671.1|CE19	54.2	515	231	3	7	521	9	518	2.1e-150	537.0
fig|2518495.5.peg.2535	QCD42516.1|GH31_3	99.3	753	5	0	1	753	1	753	0.0e+00	1604.7
fig|2518495.5.peg.2536	QCD42515.1|GH141	98.0	612	12	0	1	612	1	612	0.0e+00	1245.7
fig|2518495.5.peg.2603	AMJ20543.1|GH13_11	51.6	426	186	3	1	423	1	409	2.3e-118	430.3
fig|2518495.5.peg.2611	QCD41019.1|CBM6|GH43_29	99.6	457	2	0	1	457	1	457	2.6e-277	958.4
fig|2518495.5.peg.2682	QCD43695.1|GH13_14	99.4	657	4	0	10	666	1	657	0.0e+00	1344.3
fig|2518495.5.peg.2715	QCD42325.1|GT4	99.7	377	1	0	1	377	1	377	8.8e-215	750.4
fig|2518495.5.peg.2721	QCD42332.1|GH3	98.8	739	9	0	1	739	1	739	0.0e+00	1487.2
fig|2518495.5.peg.2722	QCP71842.1|GH2	81.1	842	158	1	1	842	1	841	0.0e+00	1485.3
fig|2518495.5.peg.2742	QCD43708.1|GH32	99.7	596	2	0	11	606	1	596	0.0e+00	1202.2
fig|2518495.5.peg.2745	AST56160.1|GH35	33.0	836	486	25	221	997	714	1534	1.3e-114	419.1
fig|2518495.5.peg.2749	QCD41441.1|CBM91|GH43_10	99.5	564	3	0	14	577	1	564	0.0e+00	1203.7
fig|2518495.5.peg.2750	QCD41442.1|CE8	98.8	321	4	0	1	321	1	321	6.0e-172	607.8
fig|2518495.5.peg.2774	QUB81822.1|GH24	29.9	2105	1194	59	88	2057	92	2050	2.8e-222	777.7
fig|2518495.5.peg.2824	ASV45029.1|GH23	25.6	1984	1065	48	5	1899	1560	3220	1.4e-146	526.2
fig|2518495.5.peg.2826	QCD43037.1|GT2	98.1	258	5	0	1	258	1	258	6.1e-143	511.1
fig|2518495.5.peg.2828	QCD43034.1|GT4	60.2	357	140	2	1	356	10	365	1.9e-126	456.8
fig|2518495.5.peg.2833	CAI32746.1|GT4	48.9	462	166	5	6	467	3	394	3.4e-115	419.9
fig|2518495.5.peg.2841	QCD43023.1|GH28	99.3	755	5	0	1	755	6	760	0.0e+00	1561.6
fig|2518495.5.peg.2842	QCP73827.1|PL1_2	69.5	600	173	6	6	597	1	598	1.6e-247	859.8
fig|2518495.5.peg.2879	QUB81822.1|GH24	34.2	855	469	21	1	809	2055	2861	8.6e-108	396.4
fig|2518495.5.peg.2925	XAJ52577.1|GH73	54.0	530	216	5	1	509	1	523	1.7e-160	570.5
fig|2518495.5.peg.2979	ASV45029.1|GH23	24.7	2092	1060	54	2	1996	1565	3237	4.2e-138	498.0
fig|2518495.5.peg.2981	QUB81822.1|GH24	30.9	2691	1544	79	101	2657	109	2617	2.1e-294	1017.7
fig|2518495.5.peg.2983	QCD43744.1|PL1_2	100.0	572	0	0	7	578	1	572	0.0e+00	1189.5
fig|2518495.5.peg.3047	QCD41002.1|GT2	100.0	264	0	0	1	264	9	272	2.7e-154	548.9
fig|2518495.5.peg.3048	QCD41001.1|GT14	100.0	319	0	0	1	319	1	319	8.3e-190	667.2
fig|2518495.5.peg.3051	QCD40998.1|GT4	100.0	362	0	0	1	362	1	362	3.3e-211	738.4
fig|2518495.5.peg.3216	QCD42340.1|GH5_4	99.3	412	3	0	1	412	9	420	7.9e-233	810.4
