dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH78_e1	GH78:419	3.2.1.40:3	alpha-rhamnoside	476	fig|2518495.5.peg.1658	734	7.6e-231	2	476	197	684	0.995798319328
GH138_e1	GH138:46	-	-	896	fig|2518495.5.peg.1659	897	0	10	895	24	896	0.987723214286
GH137_e0	GH137:122|CBM57:46|GH2:46|GH106:2	3.2.1.31:1|3.2.1.185:1	pectin	339	fig|2518495.5.peg.1660	1391	2.6e-158	2	338	24	369	0.991150442478
GH2_e99	GH2:100|CBM57:99|GH137:46	3.2.1.31:1|3.2.1.185:1	beta-glucuronan	459	fig|2518495.5.peg.1660	1391	7.3e-218	3	459	378	814	0.993464052288
CBM57_e0	CBM57:99|GH2:99|GH137:46	3.2.1.31:1|3.2.1.185:1	glycosidases	166	fig|2518495.5.peg.1660	1391	2.4e-73	1	166	1061	1222	0.993975903614
GH2_e1	GH2:1541|CBM32:15|CBM51:13|CBM13:8|GH106:2|CBM67:2|GH33:1	3.2.1.23:35	beta-galactan	883	fig|2518495.5.peg.1661	1080	0	33	883	51	965	0.962627406569
GH2_e106	GH2:268|CBM32:3	3.2.1.-:1|3.2.1.23:1	pectin, beta-galactan	760	fig|2518495.5.peg.1662	946	0	1	760	40	828	0.998684210526
GH106_e44	GH106:112|GH137:2|GH29:1	3.2.1.40:1	pectin	763	fig|2518495.5.peg.1663	1066	0	2	761	342	1060	0.994757536042
CE20_e10	CE20:99	-	-	256	fig|2518495.5.peg.1664	489	3.3e-113	1	256	109	371	0.99609375
GH139_e0	GH139:121	3.2.1.-:1	pectin	768	fig|2518495.5.peg.1665	760	0	18	765	18	755	0.97265625
GH2_e50	GH2:242	3.2.1.-:1	pectin	562	fig|2518495.5.peg.1666	876	4.8e-267	2	562	43	599	0.996441281139
PL1_e77	PL1_2:202|PL1:4	-	-	191	fig|2518495.5.peg.1667	540	2.1e-99	1	191	133	324	0.994764397906
GH95_e1	GH95:1763|CBM13:26|CBM2:14|CE6:11|CBM6:7|CBM32:5|CE8:2|GH29:1|CE12:1|CBM5:1|GH1:1	3.2.1.-:3|3.2.1.63:2	pectin, xylan, xyloglucan, host glycan	743	fig|2518495.5.peg.1670	827	0	2	730	36	765	0.979811574697
GH140_e1	GH140:160	3.2.1.-:1	pectin	432	fig|2518495.5.peg.1671	481	5.7e-190	1	432	36	461	0.997685185185
CBM67_e28	CBM67:192|GH78:190|CBM0:1|CBM66:1	3.2.1.40:1	rhamnose	186	fig|2518495.5.peg.1672	1301	6.1e-48	12	178	154	329	0.89247311828
GH78_e2	GH78:144|GH33:56|CBM67:6	3.2.1.40:1|3.2.1.-:1	alpha-rhamnoside	517	fig|2518495.5.peg.1672	1301	1.6e-228	5	516	359	887	0.988394584139
GH33_e82	GH33:118|GH78:56	3.2.1.40:1|3.2.1.-:1	pectin	297	fig|2518495.5.peg.1672	1301	9.2e-139	2	297	947	1288	0.993265993266
GH43_e173	GH43_18:113|GH29:4|CBM42:1|GH43_20:1|GH28:1|PL1_2:1	3.2.1.55:2	xylan	227	fig|2518495.5.peg.1673	319	5.3e-112	1	227	76	303	0.995594713656
GH143_e0	GH142:47|GH143:47	3.2.1.185:1|3.2.1.-:1	pectin	546	fig|2518495.5.peg.1674	1107	0	1	546	21	571	0.998168498168
GH142_e0	GH142:115|GH143:47	3.2.1.185:1|3.2.1.-:1	pectin	471	fig|2518495.5.peg.1674	1107	3.7e-241	1	470	634	1099	0.995753715499
CBM67_e27	CBM67:9|GH78:9	-	rhamnose	168	fig|2518495.5.peg.1675	914	2.5e-69	3	167	168	333	0.97619047619
GH78_e43	GH78:163|CBM67:8|GH137:1	3.2.1.40:1	alpha-rhamnoside	515	fig|2518495.5.peg.1675	914	5.7e-223	3	515	380	894	0.994174757282
CE19_e0	CE19:46|GH28:1	3.1.1.11:1	pectin	328	fig|2518495.5.peg.1676	446	3.3e-184	1	327	119	444	0.993902439024
CBM48_e32	CBM48:1020|GH13_8:992|GH13:3|GT4:2|GH28:2	2.4.1.18:166	glycogen	89	fig|2518495.5.peg.1678	683	5.5e-28	1	89	54	137	0.988764044944
GH13_e20	GH13_8:470|CBM48:339|GH13:16|GT4:1|GH28:1	2.4.1.18:50	sucrose, alpha-glucan	293	fig|2518495.5.peg.1678	683	1.3e-144	1	293	221	512	0.996587030717
GH28_e117	GH28:129	3.2.1.173:1	pectin	341	fig|2518495.5.peg.1680	438	1e-155	2	334	81	415	0.973607038123
GH146_e13	GH146:34	-	-	510	fig|2518495.5.peg.1722	790	8.6e-267	1	510	33	534	0.998039215686
GH13_e17	GH13_28:6	-	sucrose	290	fig|2518495.5.peg.1726	477	4.3e-181	1	290	42	331	0.996551724138
GT2	GT2:35	-	-	126	fig|2518495.5.peg.1728	250	1.3e-47	1	125	7	133	0.984126984127
GT51_e160	GT51:316	-	-	185	fig|2518495.5.peg.1779	823	1.9e-82	2	185	98	279	0.989189189189
GT4_e782	GT4:5	-	-	154	fig|2518495.5.peg.1821	368	2.5e-62	2	153	188	339	0.980519480519
GT4_e2393	GT4:10	-	-	139	fig|2518495.5.peg.1822	361	4.8e-26	2	137	195	335	0.971223021583
GT2	GT2:42	-	-	259	fig|2518495.5.peg.1823	284	4.9e-51	18	249	25	243	0.891891891892
GH23_e209	CBM50:31|GH23:31	-	-	140	fig|2518495.5.peg.185	596	3.1e-60	2	140	123	262	0.985714285714
CBM50_e113	CBM50:25|GH25:1|GH23:1	-	chitin, peptidoglycan	42	fig|2518495.5.peg.185	596	1e-15	1	41	541	582	0.952380952381
GH28_e25	GH28:20	-	-	354	fig|2518495.5.peg.1913	478	4.6e-217	1	354	92	444	0.997175141243
GT2	GT2:65	-	-	132	fig|2518495.5.peg.192	446	1.8e-57	1	132	207	341	0.992424242424
CE20_e40	CE20:34	-	-	260	fig|2518495.5.peg.1939	478	2.8e-139	1	260	105	366	0.996153846154
GH31_e76	GH31:163|CE0:1	2.4.1.161:1	starch	436	fig|2518495.5.peg.1947	798	3e-170	5	436	232	665	0.988532110092
CBM20_e2	CBM20:404|GH77:401	2.4.1.25:4	starch	93	fig|2518495.5.peg.1958	892	2.9e-23	3	90	2	87	0.935483870968
GH77_e22	GH77:485|CBM20:400	2.4.1.25:5	starch	646	fig|2518495.5.peg.1958	892	1.6e-291	1	644	245	886	0.995356037152
GH171_e0	GH171:861|CE4:21|GH3:2	3.2.1.92:6	peptidoglycan	364	fig|2518495.5.peg.196	438	1.3e-150	1	364	71	438	0.997252747253
CE8_e70	CE8:6	-	-	291	fig|2518495.5.peg.1961	1495	1.7e-149	1	285	1050	1335	0.975945017182
CE4_e140	CE4:231	-	-	111	fig|2518495.5.peg.2025	205	6.1e-49	3	110	26	133	0.963963963964
GH73_e10	GH73:59|CBM50:1	-	-	126	fig|2518495.5.peg.2078	206	5.9e-24	2	125	109	205	0.97619047619
GH36_e36	GH36:257|GH134:1|PL1_7:1	3.2.1.22:11	alpha-galactan	684	fig|2518495.5.peg.2105	735	0	2	684	27	711	0.997076023392
CBM48_e31	CBM48:153|GH13:152	-	glycogen	83	fig|2518495.5.peg.2128	850	5.5e-22	5	83	172	252	0.939759036145
GH13_e156	GH13:242|CBM48:233|GH13_30:1	-	sucrose	313	fig|2518495.5.peg.2128	850	2.4e-95	4	312	326	636	0.984025559105
CE11_e18	CE11:339	-	-	269	fig|2518495.5.peg.2176	460	7.4e-118	1	268	4	296	0.992565055762
GT2	GT2:444	-	-	314	fig|2518495.5.peg.2222	341	7.2e-121	2	297	12	311	0.93949044586
GH13_e203	GH13_37:43|CBM69:16|GH13_13:9|CBM48:8|CBM41:5|GH13_5:3	3.2.1.1:1	sucrose, starch	316	fig|2518495.5.peg.2260	481	3.7e-101	6	316	63	369	0.981012658228
GH133_e1	GH133:236	-	-	351	fig|2518495.5.peg.2320	644	1.2e-143	2	351	289	634	0.994301994302
GT4_e602	GT4:97	-	-	147	fig|2518495.5.peg.2321	419	2.6e-72	1	146	242	387	0.986394557823
GH57_e10	GH57:204	-	-	319	fig|2518495.5.peg.2322	484	1.8e-166	1	318	7	324	0.993730407524
GH16_e36	GH16_3:51|GH43_24:33|GH16:7|GH154:1|GH105:1	-	-	249	fig|2518495.5.peg.2323	278	4.3e-103	1	249	36	270	0.995983935743
GH28_e80	GH28:246|GH105:15|CE8:1	-	-	368	fig|2518495.5.peg.2330	505	3.2e-173	2	366	116	480	0.989130434783
GH24_e100	GH24:13	-	-	117	fig|2518495.5.peg.2468	162	2.8e-65	1	117	41	156	0.991452991453
GH43_e124	GH43_12:138|GH10:7|GH43:1	3.2.1.55:7|3.2.1.8:1	xylan, xylan	295	fig|2518495.5.peg.253	539	2.5e-127	1	295	39	336	0.996610169492
CBM91_e46	CBM91:172|GH43_12:169|GH10:14|GH43_8:1	-	xylan	179	fig|2518495.5.peg.253	539	1.6e-38	1	177	368	537	0.983240223464
GH31_e16	GH31:50	3.2.1.20:1	starch	433	fig|2518495.5.peg.2535	753	1e-251	1	433	284	716	0.997690531178
GH141_e0	GH141:40	-	-	559	fig|2518495.5.peg.2536	612	0	1	558	23	582	0.996422182469
GH24_e168	GH24:108	-	-	121	fig|2518495.5.peg.2563	175	7.5e-69	2	121	45	169	0.98347107438
GH43_e45	CBM6:12|GH43:8|GH43_29:6|CBM32:1|GH43_28:1	-	-	277	fig|2518495.5.peg.2611	457	8.1e-128	1	277	32	316	0.996389891697
CBM6_e0	CBM6:335|GH43_29:310|CBM13:12|CBM22:12|CBM2:12|GH43_16:11|GH43:10|CBM48:6|CE0:6|GH27:2|CBM32:1|CBM36:1|CBM1:1|GH43_10:1|CBM64:1	3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	beta-glucan, xylan, cellulose	125	fig|2518495.5.peg.2611	457	7.4e-29	2	121	340	454	0.952
GH13_e95	GH13_14:318|CBM48:209|CBM41:64|CBM68:5|GH13:2|GH133:1	3.2.1.-:2|3.2.1.68:1|3.2.1.41:1	sucrose, starch, starch, starch	310	fig|2518495.5.peg.2682	666	2e-141	1	310	199	523	0.996774193548
GT4_e2089	GT4:84	-	-	145	fig|2518495.5.peg.2715	377	1.4e-52	1	142	201	342	0.972413793103
GH3_e10	GH3:448|GH43_34:2	3.2.1.21:12|3.2.1.-:6	beta-glucan, beta-glucan	208	fig|2518495.5.peg.2721	739	8.9e-102	1	208	67	286	0.995192307692
GH2_e127	GH2:646|CBM32:8|CBM35:1	3.2.1.23:2	beta-galactan	717	fig|2518495.5.peg.2722	842	0	8	716	26	779	0.987447698745
GH32_e16	GH32:1098|CBM66:301|CBM38:114	3.2.1.80:10|3.2.1.65:10|3.2.1.26:7|3.2.1.153:5|3.2.1.64:3|2.4.1.99:3	fructan, fructan, fructan, fructan, fructan, fructan	316	fig|2518495.5.peg.2742	606	1.7e-122	4	308	139	442	0.962025316456
GH43_e0	GH43_10:1191|GH43_12:66|GH28:13|GH43:5	3.2.1.55:2|3.2.1.37:1	xylan, xylan	269	fig|2518495.5.peg.2749	577	5.3e-129	1	269	56	328	0.996282527881
CBM91_e10	CBM91:1294|GH43_10:1290|GH43:2|CBM6:1	-	xylan	195	fig|2518495.5.peg.2749	577	1.7e-63	1	194	362	575	0.989743589744
CE8_e86	CE8:237|CE12:56|PL1_2:3|PL10_1:2|CBM13:1|GH105:1|CBM6:1	-	-	286	fig|2518495.5.peg.2750	321	1.2e-124	2	281	32	306	0.975524475524
GT2	GT2:54	-	-	141	fig|2518495.5.peg.2826	258	1.2e-57	1	139	5	142	0.978723404255
GT4_e1825	GT4:9	-	-	153	fig|2518495.5.peg.2828	356	1.2e-66	1	153	177	327	0.993464052288
GT4_e2429	GT4:18	-	-	154	fig|2518495.5.peg.2830	375	2.4e-19	5	146	208	348	0.915584415584
GH28_e117	GH28:129	3.2.1.173:1	pectin	341	fig|2518495.5.peg.2841	755	3.4e-150	2	338	365	706	0.985337243402
PL1_e46	PL1_2:26|PL1:3|CE8:2	-	-	188	fig|2518495.5.peg.2842	597	6.4e-88	1	188	76	276	0.994680851064
GH24_e100	GH24:13	-	-	117	fig|2518495.5.peg.2921	163	5.5e-47	2	117	43	157	0.982905982906
GH73_e221	GH73:75	-	-	133	fig|2518495.5.peg.2925	513	1.9e-64	1	130	13	142	0.96992481203
PL1_e77	PL1_2:202|PL1:4	-	-	191	fig|2518495.5.peg.2983	578	1.1e-104	1	191	135	328	0.994764397906
GT2	GT2:32	-	-	160	fig|2518495.5.peg.3047	264	8.3e-71	3	160	1	158	0.98125
GT14_e48	GT14:21	-	-	258	fig|2518495.5.peg.3048	319	1.4e-34	3	253	8	274	0.968992248062
GT4_e2480	GT4:7	-	-	150	fig|2518495.5.peg.3051	362	6.8e-38	2	145	178	316	0.953333333333
GH24_e203	GH24:151	-	-	126	fig|2518495.5.peg.3098	135	1.6e-59	1	126	4	129	0.992063492063
GH24_e203	GH24:151	-	-	126	fig|2518495.5.peg.3155	135	1.5e-60	1	126	4	129	0.992063492063
GH5_e108	GH5_4:135|CBM13:9|CBM88:1|CBM10:1|CBM2:1	3.2.1.4:3	beta-glucan	298	fig|2518495.5.peg.3216	414	2.9e-68	2	157	252	412	0.520134228188
GH5_e108	GH5_4:135|CBM13:9|CBM88:1|CBM10:1|CBM2:1	3.2.1.4:3	beta-glucan	298	fig|2518495.5.peg.3286	184	1.9e-47	155	297	9	154	0.476510067114
GT2	GT2:14	-	-	272	fig|2518495.5.peg.340	339	1.4e-55	1	260	26	291	0.952205882353
GH73_e155	GH73:11	-	-	110	fig|2518495.5.peg.350	236	9.4e-58	2	110	52	162	0.981818181818
GT19_e16	GT19:5	-	-	326	fig|2518495.5.peg.352	395	7.4e-176	1	326	5	371	0.996932515337
GT2	GT2:60	-	-	266	fig|2518495.5.peg.364	346	9.3e-104	1	265	21	285	0.992481203008
CE8_e86	CE8:237|CE12:56|PL1_2:3|PL10_1:2|CBM13:1|GH105:1|CBM6:1	-	-	286	fig|2518495.5.peg.40	320	3.6e-131	1	276	28	302	0.961538461538
GH13_e113	GH13_38:338|GH13:1	3.2.1.20:2	sucrose, starch	375	fig|2518495.5.peg.427	570	1.7e-163	1	375	32	396	0.997333333333
GT2	GT2:8	-	-	131	fig|2518495.5.peg.45	260	9e-44	2	130	7	136	0.977099236641
GH95_e1	GH95:1763|CBM13:26|CBM2:14|CE6:11|CBM6:7|CBM32:5|CE8:2|GH29:1|CE12:1|CBM5:1|GH1:1	3.2.1.-:3|3.2.1.63:2	pectin, xylan, xyloglucan, host glycan	743	fig|2518495.5.peg.455	802	3e-262	2	736	22	790	0.987886944818
GT2	GT2:15	-	-	117	fig|2518495.5.peg.504	348	5e-52	1	115	9	123	0.974358974359
GT2	GT2:10	-	-	130	fig|2518495.5.peg.533	265	1.3e-57	5	128	3	128	0.946153846154
GT9_e65	GT9:196	-	-	249	fig|2518495.5.peg.536	344	7.8e-83	1	248	75	310	0.991967871486
GT30_e38	GT30:395	-	-	163	fig|2518495.5.peg.540	425	4.4e-59	2	163	55	217	0.98773006135
GH51_e19	GH51:1621	3.2.1.55:27	arabinan	489	fig|2518495.5.peg.554	519	3.8e-226	10	488	39	517	0.977505112474
GH2_e30	GH2:674|CBM51:7|CBM67:1	-	-	866	fig|2518495.5.peg.555	1045	0	8	865	62	921	0.9896073903
CE20_e6	CE20:16	-	-	232	fig|2518495.5.peg.585	552	5.8e-76	1	232	99	550	0.995689655172
GH10_e83	GH10:216|GH43_12:4|GH43_1:3|CE0:2	3.2.1.8:21|3.2.1.55:1	xylan	341	fig|2518495.5.peg.587	371	5.3e-156	1	337	29	363	0.985337243402
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	fig|2518495.5.peg.588	331	4.4e-144	3	309	13	319	0.987096774194
GH28_e64	GH28:285|CE12:17|PL9_1:2	3.2.1.67:1	pectin	396	fig|2518495.5.peg.59	498	1.1e-174	3	394	81	461	0.987373737374
GH67_e0	GH67:722	3.2.1.139:4|3.2.1.131:3|3.2.1.-:1	xylan, xylan	668	fig|2518495.5.peg.590	672	3.8e-277	84	667	73	637	0.872754491018
GT28_e43	GT28:568	-	-	161	fig|2518495.5.peg.595	376	3.1e-57	1	160	205	362	0.987577639752
CE2_e31	CE2:10	-	-	209	fig|2518495.5.peg.615	359	5.4e-99	1	209	153	356	0.995215311005
GH78_e14	GH78:99	-	-	493	fig|2518495.5.peg.635	575	5.8e-227	2	493	79	573	0.995943204868
CE20_e34	CE20:107	-	-	261	fig|2518495.5.peg.639	473	4.6e-86	1	258	96	356	0.984674329502
GH28_e19	GH28:8	-	-	343	fig|2518495.5.peg.642	931	8.8e-21	5	198	496	697	0.562682215743
GH106_e46	GH106:55	-	-	732	fig|2518495.5.peg.643	1051	0	3	731	321	1047	0.994535519126
GT4_e1660	GT4:7	-	-	142	fig|2518495.5.peg.654	442	1.4e-39	3	140	260	404	0.964788732394
GT26_e152	GT26:7	-	-	169	fig|2518495.5.peg.685	251	1.2e-94	1	168	57	224	0.988165680473
GT4_e653	GT4:10	-	-	151	fig|2518495.5.peg.687	349	2.5e-71	1	151	167	317	0.993377483444
GH3_e208	GH3:174	3.2.1.21:4	beta-glucan	231	fig|2518495.5.peg.688	775	1.9e-115	3	231	117	345	0.987012987013
CE8_e64	CE8:7|PL1_2:7	-	-	300	fig|2518495.5.peg.69	1293	1.3e-173	1	300	352	651	0.996666666667
PL1_e60	PL1_2:186|CE8:16|PL1:11|CBM6:4|CBM35:1|CBM88:1	4.2.2.2:3	pectin	184	fig|2518495.5.peg.69	1293	1.1e-62	1	184	799	1002	0.994565217391
GH25_e77	GH25:7	-	-	175	fig|2518495.5.peg.717	243	7.8e-83	1	175	43	212	0.994285714286
GH28_e111	GH28:59|GH43_24:12	-	-	359	fig|2518495.5.peg.718	443	2.4e-156	1	358	71	426	0.994428969359
GH28_e18	GH28:17|GH43_10:13	-	-	339	fig|2518495.5.peg.719	466	1.6e-194	1	339	62	402	0.997050147493
GH105_e17	GH105:172|CE12:1	3.2.1.172:1	pectin	319	fig|2518495.5.peg.720	376	1.4e-163	3	319	60	376	0.990595611285
GH106_e0	GH106:213|CE12:1	3.2.1.174:1	pectin	900	fig|2518495.5.peg.721	938	0	1	900	33	933	0.998888888889
CE12_e30	CE12:134|CE8:55|CE0:21|PL10_1:1	-	-	211	fig|2518495.5.peg.725	282	2.3e-98	1	210	28	262	0.990521327014
CBM50_e871	CBM50:7	-	chitin, peptidoglycan	41	fig|2518495.5.peg.775	632	5.9e-21	1	40	42	81	0.951219512195
CBM50_e871	CBM50:7	-	chitin, peptidoglycan	41	fig|2518495.5.peg.775	632	3.5e-21	1	41	115	155	0.975609756098
CBM50_e871	CBM50:7	-	chitin, peptidoglycan	41	fig|2518495.5.peg.775	632	5.2e-18	1	41	194	233	0.975609756098
