"Genome","HMM.Profile","Trimmed.Profile","Substrates","Source","E.Value","Coverage","HMM.Profile.Number"
"7BRU","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","2.2e-64","0.976851851852",3
"7BRU","GH128","GH128","beta-glucan",NA,"1.1e-21","0.879464285714",128
"7BRU","GH35","GH35","beta-galactan, chitin, pectin",NA,"1.9e-119","0.990228013029",35
"7BRU","GH43_24","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","3.2e-100","0.987804878049",43
"7BRU","GH105","GH105","pectin, ulvan","animal","1.9e-80","0.960843373494",105
"7BRU","GH154","GH154","arabinogalactan protein",NA,"3.2e-105","0.988505747126",154
"7BRU","GH16_3","GH16","agarose, arabinogalactan protein, beta-glucan, carrageenan, chitin, exo-polysaccharide, host glycan, porphyran, xyloglucan","plant,fungal","8.2e-58","0.982608695652",16
"7BRU","GH23","GH23","chitin, peptidoglycan","pg","1.6e-23","0.82962962963",23
"7BRU","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","2.1e-68","0.981481481481",3
"7BRU","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","3.1e-103","0.587765957447",2
"7BRU","GH31_15","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"3.3e-163","0.99765258216",31
"7BRU","GH97","GH97","alpha-glucan",NA,"7.5e-197","0.980982567353",97
"7BRU","GH43_17","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","4.8e-97","0.98127340824",43
"7BRU","GH27","GH27","alpha-galactan, arabinogalactan protein, host glycan, raffinose, starch","plant","9.3e-33","0.938864628821",27
"7BRU","GH27","GH27","alpha-galactan, arabinogalactan protein, host glycan, raffinose, starch","plant","2e-29","0.930131004367",27
"7BRU","GH97","GH97","alpha-glucan",NA,"1.3e-228","0.990491283677",97
"7BRU","GH13_48","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","2.6e-96","0.975265017668",13
"7BRU","GH28","GH28","pectin","plant","3.2e-69","0.932307692308",28
"7BRU","GH36","GH36","alpha-galactan, host glycan, raffinose","plant","5.9e-29","0.459302325581",36
"7BRU","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.5e-93","0.582446808511",2
"7BRU","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","2.3e-70","0.990740740741",3
"7BRU","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","3.7e-70","0.981481481481",3
"7BRU","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","3e-225","0.966755319149",2
"7BRU","GH16_3","GH16","agarose, arabinogalactan protein, beta-glucan, carrageenan, chitin, exo-polysaccharide, host glycan, porphyran, xyloglucan","plant,fungal","2.4e-58","0.995652173913",16
"7BRU","GH57","GH57","alpha-galactan, alpha-glucan, beta-glucan, starch","starch","2.6e-56","0.814621409922",57
"7BRU","GH133","GH133","glycogen",NA,"4.2e-83","0.983870967742",133
"7BRU","GH30_4","GH30","arabinogalactan protein, beta-fucosides, beta-glucan, beta-glucuronan, host glycan, xylan",NA,"4.7e-177","0.989816700611",30
"7BRU","GH31_15","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"2e-155","0.99765258216",31
"7BRU","GH29","GH29","host glycan","plant,animal,mucin","9.7e-103","0.959537572254",29
"7BRU","GH97","GH97","alpha-glucan",NA,"3.4e-242","0.955625990491",97
"7BRU","GH84","GH84","host glycan","animal,mucin","2e-105","0.989830508475",84
"7BRU","GH95","GH95","host glycan, pectin, xylan, xyloglucan, host glycan","plant,animal,mucin","3.7e-244","0.979224376731",95
"7BRU","GH36","GH36","alpha-galactan, host glycan, raffinose","plant","7.3e-206","0.991279069767",36
"7BRU","GH13_44","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","5.5e-129","0.997023809524",13
"7BRU","GH92","GH92","host glycan","animal","1.2e-160","0.995926680244",92
"8FP","GH29","GH29","host glycan","plant,animal,mucin","2.4e-101","0.907514450867",29
"8FP","GH92","GH92","host glycan","animal","4.8e-185","0.987780040733",92
"8FP","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","2.5e-117","0.979228486647",20
"8FP","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.5e-99","0.613031914894",2
"8FP","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.1e-196","0.969414893617",2
"8FP","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","1.4e-55","0.967359050445",20
"8FP","GH110","GH110","host glycan","animal","3.7e-191","0.992700729927",110
"8FP","GH188","GH188",NA,NA,"2.8e-26","0.772200772201",188
"8FP","GH13_8","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","2.5e-163","0.990625",13
"8FP","GH23","GH23","chitin, peptidoglycan","pg","1.2e-25","0.814814814815",23
"8FP","GH89","GH89","host glycan","animal,mucin","5.7e-224","0.960784313725",89
"8FP","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","1.4e-61","0.976851851852",3
"8FP","GH23","GH23","chitin, peptidoglycan","pg","9.2e-23","0.822222222222",23
"8FP","GH130_1","GH130","beta-mannan",NA,"1.2e-170","0.996805111821",130
"8FP","GH26","GH26","beta-glucan, beta-mannan, xylan","plant","5.4e-51","0.874587458746",26
"8FP","GH5_7","GH5","arabinan, arabinogalactan protein, beta-glucan, beta-glycan, beta-mannan, cellulose, chitin, chitosan, glycolipid, polyphenol, xylan, xyloglucan","plant,fungal","9.8e-89","0.993079584775",5
"8FP","GH92","GH92","host glycan","animal","9.5e-178","0.993890020367",92
"8FP","GH92","GH92","host glycan","animal","1.8e-158","0.9816700611",92
"8FP","GH84","GH84","host glycan","animal,mucin","1.3e-104","0.993220338983",84
"8FP","GH109","GH109","host glycan","animal","2.9e-166","0.989974937343",109
"8FP","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","7.6e-99","0.955489614243",20
"8FP","GH29","GH29","host glycan","plant,animal,mucin","8e-86","0.901734104046",29
"8FP","GH57","GH57","alpha-galactan, alpha-glucan, beta-glucan, starch","starch","2e-64","0.806788511749",57
"8FP","GH133","GH133","glycogen",NA,"8.1e-83","0.983870967742",133
"8FP","GH130_2","GH130","beta-mannan",NA,"6.9e-159","0.996666666667",130
"8FP","GH125","GH125","alpha-mannan",NA,"4.4e-181","0.995024875622",125
"8FP","GH31_18","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"2e-112","0.942148760331",31
"8FP","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","6.2e-206","0.970744680851",2
"8FP","GH16_3","GH16","agarose, arabinogalactan protein, beta-glucan, carrageenan, chitin, exo-polysaccharide, host glycan, porphyran, xyloglucan","plant,fungal","8.9e-54","0.995652173913",16
"8FP","GH110","GH110","host glycan","animal","8.4e-198","0.998175182482",110
"8FP","GH188","GH188",NA,NA,"3.1e-18","0.725868725869",188
"8FP","GH77","GH77","starch","starch","8.3e-146","0.983805668016",77
"8FP","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","1.3e-123","0.973293768546",20
"8FP","GH25","GH25","peptidoglycan","pg","4.9e-43","0.988700564972",25
"8FP","GH73","GH73","peptidoglycan","pg","4.2e-18","0.9296875",73
"8FP","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","6.6e-90","0.973293768546",20
"8FP","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","1.1e-102","0.955489614243",20
"8FP","GH73","GH73","peptidoglycan","pg","2.2e-18","0.96875",73
"8FP","GH171","GH171","peptidoglycan",NA,"2.7e-108","0.997183098592",171
"8FP","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","2.2e-62","0.967359050445",20
"8FP","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.4e-220","0.974734042553",2
"8FP","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","2.1e-113","0.976261127596",20
"8FP","GH23","GH23","chitin, peptidoglycan","pg","7.6e-23","0.948148148148",23
"8FP","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","1e-98","0.973293768546",20
"8FP","GH13_38","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","4.1e-168","0.99460916442",13
"8FP","GH33","GH33","pectin, sialic acid","animal,mucin","8.7e-88","0.947368421053",33
"8FP","GH95","GH95","host glycan, pectin, xylan, xyloglucan, host glycan","plant,animal,mucin","1.2e-263","0.98891966759",95
"Akkermansia","GH29","GH29","host glycan","plant,animal,mucin","9.3e-101","0.910404624277",29
"Akkermansia","GH109","GH109","host glycan","animal","9.3e-158","0.992481203008",109
"Akkermansia","GH84","GH84","host glycan","animal,mucin","9.3e-112","0.993220338983",84
"Akkermansia","GH89","GH89","host glycan","animal,mucin","3e-214","0.99245852187",89
"Akkermansia","GH95","GH95","host glycan, pectin, xylan, xyloglucan, host glycan","plant,animal,mucin","3.9e-196","0.976454293629",95
"Akkermansia","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.6e-122","0.640957446809",2
"Akkermansia","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","7.8e-114","0.973293768546",20
"Akkermansia","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","3e-60","0.970326409496",20
"Akkermansia","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","2.7e-93","0.607712765957",2
"Akkermansia","GH43_24","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","1.4e-103","0.991869918699",43
"Akkermansia","GH35","GH35","beta-galactan, chitin, pectin",NA,"3.2e-100","0.990228013029",35
"Akkermansia","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","8e-223","0.964095744681",2
"Akkermansia","GH29","GH29","host glycan","plant,animal,mucin","5.9e-74","0.843930635838",29
"Akkermansia","GH36","GH36","alpha-galactan, host glycan, raffinose","plant","4.1e-195","0.994186046512",36
"Akkermansia","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","3.5e-121","0.976261127596",20
"Akkermansia","GH16_3","GH16","agarose, arabinogalactan protein, beta-glucan, carrageenan, chitin, exo-polysaccharide, host glycan, porphyran, xyloglucan","plant,fungal","8.2e-64","0.995652173913",16
"Akkermansia","GH109","GH109","host glycan","animal","1.7e-157","0.989974937343",109
"Akkermansia","GH31_18","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"2.2e-115","0.99173553719",31
"Akkermansia","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","5.9e-97","0.967359050445",20
"Akkermansia","GH95","GH95","host glycan, pectin, xylan, xyloglucan, host glycan","plant,animal,mucin","9.7e-249","0.981994459834",95
"Akkermansia","GH27","GH27","alpha-galactan, arabinogalactan protein, host glycan, raffinose, starch","plant","1.1e-74","0.951965065502",27
"Akkermansia","GH177","GH177","host glycan",NA,"2.7e-116","0.994236311239",177
"Akkermansia","GH97","GH97","alpha-glucan",NA,"2.9e-148","0.980982567353",97
"Akkermansia","GH110","GH110","host glycan","animal","1.3e-173","0.912408759124",110
"Akkermansia","GH181","GH181","host glycan",NA,"3.4e-168","0.996951219512",181
"Akkermansia","GH13_38","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","9.5e-113","0.991913746631",13
"Akkermansia","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.5e-211","0.964095744681",2
"Akkermansia","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","2.4e-111","0.626329787234",2
"Akkermansia","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","4.1e-105","0.970326409496",20
"Akkermansia","GH35","GH35","beta-galactan, chitin, pectin",NA,"9.2e-116","0.99348534202",35
"Akkermansia","GH109","GH109","host glycan","animal","3.4e-18","0.401002506266",109
"Akkermansia","GH13_8","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","2.8e-165","0.99375",13
"Akkermansia","GH13_5","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","1.1e-154","0.997076023392",13
"Akkermansia","GH57","GH57","alpha-galactan, alpha-glucan, beta-glucan, starch","starch","3.6e-45","0.804177545692",57
"Akkermansia","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","1.1e-49","0.970326409496",20
"Akkermansia","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","5.7e-104","0.973293768546",20
"Akkermansia","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","1.4e-43","0.935185185185",3
"Akkermansia","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","2.3e-60","0.902077151335",20
"Akkermansia","GH18","GH18","chitin, host glycan, peptidoglycan","animal,fungal","3e-31","0.780405405405",18
"Akkermansia","GH188","GH188",NA,NA,"1.4e-21","0.752895752896",188
"Akkermansia","GH29","GH29","host glycan","plant,animal,mucin","2.2e-96","0.893063583815",29
"Akkermansia","GH33","GH33","pectin, sialic acid","animal,mucin","3.6e-79","0.964912280702",33
"Akkermansia","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","3.9e-73","0.480053191489",2
"Akkermansia","GH141","GH141","pectin, xylan",NA,"2.2e-34","0.614800759013",141
"Akkermansia","GH33","GH33","pectin, sialic acid","animal,mucin","2.7e-94","0.929824561404",33
"Akkermansia","GH43_24","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","1.3e-104","0.991869918699",43
"Akkermansia","GH110","GH110","host glycan","animal","2.2e-199","0.998175182482",110
"Akkermansia","GH16_3","GH16","agarose, arabinogalactan protein, beta-glucan, carrageenan, chitin, exo-polysaccharide, host glycan, porphyran, xyloglucan","plant,fungal","2.4e-56","0.826086956522",16
"Akkermansia","GH175","GH175","beta-glucan",NA,"7.6e-27","0.932989690722",175
"Akkermansia","GH77","GH77","starch","starch","2.1e-134","0.951417004049",77
"Akkermansia","GH16_3","GH16","agarose, arabinogalactan protein, beta-glucan, carrageenan, chitin, exo-polysaccharide, host glycan, porphyran, xyloglucan","plant,fungal","9e-53","0.991304347826",16
"Akkermansia","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","2.8e-105","0.970326409496",20
"Akkermansia","GH31_1","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"3.3e-156","0.997762863535",31
"Akkermansia","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","1.6e-47","0.964391691395",20
"Akkermansia","GH123","GH123","host glycan",NA,"3.1e-195","0.992565055762",123
"Akkermansia","GH29","GH29","host glycan","plant,animal,mucin","2.1e-79","0.849710982659",29
"Akkermansia","GH105","GH105","pectin, ulvan","animal","2.6e-81","0.975903614458",105
"Akkermansia","GH89","GH89","host glycan","animal,mucin","7e-200","0.932126696833",89
"Akkermansia","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","2.6e-101","0.973293768546",20
"B_theta","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","3e-94","0.647606382979",2
"B_theta","GH139","GH139","pectin",NA,"0","0.992277992278",139
"B_theta","GH106","GH106","pectin",NA,"5e-118","0.440533980583",106
"B_theta","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.6e-129","0.94414893617",2
"B_theta","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","6.4e-230","0.958776595745",2
"B_theta","GH137","GH137","pectin",NA,"3.9e-159","0.994117647059",137
"B_theta","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","2.8e-76","0.48670212766",2
"B_theta","GH138","GH138","pectin",NA,"0","0.998897464168",138
"B_theta","GH78","GH78","alpha-rhamnoside, pectin","plant","2.2e-115","0.964285714286",78
"B_theta","GH141","GH141","pectin, xylan",NA,"2.1e-232","0.996204933586",141
"B_theta","GH127","GH127","arabinogalactan protein, carrageenan, pectin",NA,"3.7e-192","0.998091603053",127
"B_theta","GH95","GH95","host glycan, pectin, xylan, xyloglucan, host glycan","plant,animal,mucin","2.7e-293","0.983379501385",95
"B_theta","GH105","GH105","pectin, ulvan","animal","3.4e-121","0.984939759036",105
"B_theta","GH140","GH140","pectin",NA,"9.4e-132","0.73786407767",140
"B_theta","GH78","GH78","alpha-rhamnoside, pectin","plant","1.2e-160","0.988095238095",78
"B_theta","GH33","GH33","pectin, sialic acid","animal,mucin","4.8e-39","0.921052631579",33
"B_theta","GH28","GH28","pectin","plant","1.3e-97","0.92",28
"B_theta","GH78","GH78","alpha-rhamnoside, pectin","plant","1.6e-157","0.994047619048",78
"B_theta","GH143","GH143","pectin",NA,"2.5e-295","0.994604316547",143
"B_theta","GH142","GH142","pectin",NA,"1.5e-232","0.995824634656",142
"B_theta","GH43_18","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","8.6e-91","0.991150442478",43
"B_theta","GH92","GH92","host glycan","animal","2e-179","0.987780040733",92
"B_theta","GH130_2","GH130","beta-mannan",NA,"1.1e-157","0.996666666667",130
"B_theta","GH163","GH163","host glycan",NA,"7.8e-111","0.996015936255",163
"B_theta","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","4e-124","0.967359050445",20
"B_theta","GH28","GH28","pectin","plant","2e-29","0.738461538462",28
"B_theta","GH97","GH97","alpha-glucan",NA,"4.6e-183","0.982567353407",97
"B_theta","GH18","GH18","chitin, host glycan, peptidoglycan","animal,fungal","2.6e-18","0.489864864865",18
"B_theta","GH146","GH146","arabinan",NA,"2.7e-203","0.998011928429",146
"B_theta","GH43_10","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","1.3e-81","0.819188191882",43
"B_theta","GH88","GH88","host glycan","animal","5.1e-126","0.990881458967",88
"B_theta","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","5.5e-106","0.955489614243",20
"B_theta","GH29","GH29","host glycan","plant,animal,mucin","1.3e-82","0.867052023121",29
"B_theta","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.9e-216","0.966755319149",2
"B_theta","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","6.4e-116","0.973293768546",20
"B_theta","GH18","GH18","chitin, host glycan, peptidoglycan","animal,fungal","7.8e-37","0.800675675676",18
"B_theta","GH13_14","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","8.7e-118","0.996539792388",13
"B_theta","GH32","GH32","fructan","sucrose","2.2e-78","0.836177474403",32
"B_theta","GH32","GH32","fructan","sucrose","5.4e-41","0.829351535836",32
"B_theta","GH23","GH23","chitin, peptidoglycan","pg","2e-21","0.807407407407",23
"B_theta","GH32","GH32","fructan","sucrose","1e-92","0.982935153584",32
"B_theta","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","6.3e-88","0.626329787234",2
"B_theta","GH92","GH92","host glycan","animal","4.2e-167","0.993890020367",92
"B_theta","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","9.6e-90","0.767287234043",2
"B_theta","GH95","GH95","host glycan, pectin, xylan, xyloglucan, host glycan","plant,animal,mucin","6e-231","0.858725761773",95
"B_theta","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","9.3e-70","0.976851851852",3
"B_theta","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","1.5e-70","0.967592592593",3
"B_theta","GH43_2","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","1.5e-131","0.992779783394",43
"B_theta","GH97","GH97","alpha-glucan",NA,"8.8e-210","0.992076069731",97
"B_theta","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","4.5e-69","0.986111111111",3
"B_theta","GH43_17","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","3.1e-101","0.985018726592",43
"B_theta","GH92","GH92","host glycan","animal","6e-189","0.9816700611",92
