locus_tag	ftype	length_bp	gene	EC_number	COG	product
ALLENOCK_00035	CDS	1758				hypothetical protein
ALLENOCK_00036	CDS	570				hypothetical protein
ALLENOCK_00037	CDS	435				hypothetical protein
ALLENOCK_00038	CDS	2616	rep	3.6.4.12		ATP-dependent DNA helicase Rep
ALLENOCK_00039	CDS	1539				hypothetical protein
ALLENOCK_00040	CDS	300				hypothetical protein
ALLENOCK_00041	CDS	354				hypothetical protein
ALLENOCK_00042	CDS	690	cobB	2.3.1.286	COG0846	NAD-dependent protein deacylase
ALLENOCK_00043	CDS	570	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
ALLENOCK_00044	CDS	1368			COG2239	Magnesium transporter MgtE
ALLENOCK_00045	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
ALLENOCK_00046	CDS	567	sigW_1		COG1595	ECF RNA polymerase sigma factor SigW
ALLENOCK_00047	CDS	1323				hypothetical protein
ALLENOCK_00048	CDS	1581				hypothetical protein
ALLENOCK_00049	CDS	3561				hypothetical protein
ALLENOCK_00050	CDS	999				hypothetical protein
ALLENOCK_00051	CDS	1074	albA	1.21.98.-	COG0535	Antilisterial bacteriocin subtilosin biosynthesis protein AlbA
ALLENOCK_00052	CDS	1104		2.4.1.11	COG0438	Glycogen synthase
ALLENOCK_00053	CDS	1641				hypothetical protein
ALLENOCK_00054	CDS	471	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
ALLENOCK_00055	CDS	3327				hypothetical protein
ALLENOCK_00056	CDS	372				hypothetical protein
ALLENOCK_00057	CDS	321				hypothetical protein
ALLENOCK_00058	CDS	1095	ompA			Outer membrane protein A
ALLENOCK_00059	CDS	321				hypothetical protein
ALLENOCK_00060	CDS	909	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
ALLENOCK_00061	CDS	345				hypothetical protein
ALLENOCK_00062	CDS	2085	penA	3.4.16.4	COG0768	putative peptidoglycan D,D-transpeptidase PenA
ALLENOCK_00063	CDS	1452	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
ALLENOCK_00064	CDS	1260	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
ALLENOCK_00065	CDS	1374	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
ALLENOCK_00066	CDS	1365	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
ALLENOCK_00067	CDS	1101	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
ALLENOCK_00068	CDS	1377	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
ALLENOCK_00069	CDS	993	ftsQ			Cell division protein FtsQ
ALLENOCK_00070	CDS	1326	ftsA		COG0849	Cell division protein FtsA
ALLENOCK_00071	CDS	1389	ftsZ			Cell division protein FtsZ
ALLENOCK_00072	CDS	708	rsmI_1	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
ALLENOCK_00073	CDS	1050				hypothetical protein
ALLENOCK_00074	CDS	1089	rfbM	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase RfbM
ALLENOCK_00075	CDS	891	era			GTPase Era
ALLENOCK_00076	CDS	651				hypothetical protein
ALLENOCK_00077	CDS	3360				hypothetical protein
ALLENOCK_00078	CDS	1869				hypothetical protein
ALLENOCK_00079	CDS	1227				hypothetical protein
ALLENOCK_00080	CDS	1953				hypothetical protein
ALLENOCK_00081	CDS	1479				hypothetical protein
ALLENOCK_00082	CDS	603				hypothetical protein
ALLENOCK_00083	CDS	138				hypothetical protein
ALLENOCK_00084	CDS	3225				TonB-dependent receptor P3
ALLENOCK_00085	CDS	1716				hypothetical protein
ALLENOCK_00086	CDS	693	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
ALLENOCK_00087	CDS	477	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
ALLENOCK_00088	CDS	654				hypothetical protein
ALLENOCK_00089	CDS	1737				hypothetical protein
ALLENOCK_00090	CDS	738	ywqE	3.1.3.48	COG4464	Tyrosine-protein phosphatase YwqE
ALLENOCK_00091	CDS	1272	serS	6.1.1.11	COG0172	Serine--tRNA ligase
ALLENOCK_00092	CDS	450	yqeY		COG1610	putative protein YqeY
ALLENOCK_00093	CDS	552	aroK	2.7.1.71	COG0703	Shikimate kinase
ALLENOCK_00094	CDS	1188	ald2	1.4.1.1		Alanine dehydrogenase 2
ALLENOCK_00095	CDS	639	rnhA	3.1.26.4	COG3341	Ribonuclease H
ALLENOCK_00096	CDS	1698				hypothetical protein
ALLENOCK_00097	CDS	375				hypothetical protein
ALLENOCK_00098	CDS	648				hypothetical protein
ALLENOCK_00099	CDS	402				hypothetical protein
ALLENOCK_00100	CDS	450				hypothetical protein
ALLENOCK_00101	CDS	177				hypothetical protein
ALLENOCK_00102	CDS	405				hypothetical protein
ALLENOCK_00103	CDS	1281	glyA	2.1.2.1		Serine hydroxymethyltransferase
ALLENOCK_00104	CDS	573	rutF	1.5.1.42		FMN reductase (NADH) RutF
ALLENOCK_00105	CDS	459	pyrI		COG1781	Aspartate carbamoyltransferase regulatory chain
ALLENOCK_00106	CDS	927	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
ALLENOCK_00107	CDS	378		5.1.3.29		L-fucose mutarotase
ALLENOCK_00108	CDS	2748	lptD_1			LPS-assembly protein LptD
ALLENOCK_00109	CDS	1047				hypothetical protein
ALLENOCK_00110	CDS	303				hypothetical protein
ALLENOCK_00111	CDS	885	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
ALLENOCK_00112	CDS	444				hypothetical protein
ALLENOCK_00113	CDS	1140	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
ALLENOCK_00114	CDS	531	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
ALLENOCK_00115	CDS	1596	comM		COG0606	Competence protein ComM
ALLENOCK_00116	CDS	1101				hypothetical protein
ALLENOCK_00117	CDS	162				hypothetical protein
ALLENOCK_00118	CDS	798				hypothetical protein
ALLENOCK_00119	CDS	201				hypothetical protein
ALLENOCK_00120	CDS	1083				hypothetical protein
ALLENOCK_00121	CDS	714				hypothetical protein
ALLENOCK_00122	CDS	906	rhaS_1			HTH-type transcriptional activator RhaS
ALLENOCK_00123	CDS	1077				hypothetical protein
ALLENOCK_00124	CDS	213				hypothetical protein
ALLENOCK_00125	CDS	1971	mdoB	2.7.8.20		Phosphoglycerol transferase I
ALLENOCK_00126	CDS	1191				hypothetical protein
ALLENOCK_00127	CDS	1062				hypothetical protein
ALLENOCK_00128	CDS	1821				hypothetical protein
ALLENOCK_00129	CDS	729	srrA_1		COG0745	Transcriptional regulatory protein SrrA
ALLENOCK_00130	CDS	639	rnhB	3.1.26.4	COG0164	Ribonuclease HII
ALLENOCK_00131	CDS	1029	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
ALLENOCK_00132	CDS	1227	queA_1	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
ALLENOCK_00133	CDS	477				hypothetical protein
ALLENOCK_00134	CDS	2697	parC	5.6.2.2		DNA topoisomerase 4 subunit A
ALLENOCK_00135	CDS	843				hypothetical protein
ALLENOCK_00136	CDS	1056				hypothetical protein
ALLENOCK_00137	CDS	864				hypothetical protein
ALLENOCK_00138	CDS	1263	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
ALLENOCK_00139	CDS	546				hypothetical protein
ALLENOCK_00140	CDS	804				hypothetical protein
ALLENOCK_00141	CDS	369				hypothetical protein
ALLENOCK_00142	CDS	465	asnC_1		COG1522	Regulatory protein AsnC
ALLENOCK_00143	CDS	1410	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
ALLENOCK_00144	CDS	1485	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
ALLENOCK_00145	CDS	330				hypothetical protein
ALLENOCK_00146	CDS	684				hypothetical protein
ALLENOCK_00147	CDS	684	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
ALLENOCK_00148	CDS	729	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
ALLENOCK_00149	CDS	1236	pepC	3.4.22.40	COG3579	Aminopeptidase C
ALLENOCK_00150	CDS	702				hypothetical protein
ALLENOCK_00151	CDS	528				hypothetical protein
ALLENOCK_00152	CDS	3648				hypothetical protein
ALLENOCK_00153	CDS	2379				hypothetical protein
ALLENOCK_00154	CDS	1911				hypothetical protein
ALLENOCK_00155	CDS	2052	rny_1	3.1.-.-		Ribonuclease Y
ALLENOCK_00156	CDS	2268	relA_1	2.7.6.5	COG0317	GTP pyrophosphokinase
ALLENOCK_00157	CDS	1188	patB_1	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
ALLENOCK_00158	CDS	1293		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
ALLENOCK_00159	CDS	477	lrp		COG1522	Leucine-responsive regulatory protein
ALLENOCK_00160	CDS	1233	recA			Protein RecA
ALLENOCK_00161	CDS	366				hypothetical protein
ALLENOCK_00162	CDS	1515				hypothetical protein
ALLENOCK_00163	CDS	630		3.1.3.-	COG1011	D-ribitol-5-phosphate phosphatase
ALLENOCK_00164	CDS	654	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
ALLENOCK_00165	CDS	306				hypothetical protein
ALLENOCK_00166	CDS	591				hypothetical protein
ALLENOCK_00167	CDS	6015				hypothetical protein
ALLENOCK_00168	CDS	1011	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
ALLENOCK_00169	CDS	558	mscL			Large-conductance mechanosensitive channel
ALLENOCK_00170	CDS	1209		1.5.1.43		Carboxynorspermidine synthase
ALLENOCK_00171	CDS	1455	rfbX		COG2244	Putative O-antigen transporter
ALLENOCK_00172	CDS	1104				hypothetical protein
ALLENOCK_00173	CDS	1104				hypothetical protein
ALLENOCK_00174	CDS	849				hypothetical protein
ALLENOCK_00175	CDS	1278				hypothetical protein
ALLENOCK_00176	CDS	2043				hypothetical protein
ALLENOCK_00177	CDS	1827	uvrC		COG0322	UvrABC system protein C
ALLENOCK_00178	CDS	519	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
ALLENOCK_00179	CDS	1878	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
ALLENOCK_00180	CDS	441	ybeY	3.1.-.-		Endoribonuclease YbeY
ALLENOCK_00181	CDS	1260				hypothetical protein
ALLENOCK_00182	CDS	1080	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
ALLENOCK_00183	CDS	753				hypothetical protein
ALLENOCK_00184	CDS	126				hypothetical protein
ALLENOCK_00185	CDS	549				hypothetical protein
ALLENOCK_00186	CDS	96				hypothetical protein
ALLENOCK_00187	CDS	1647				hypothetical protein
ALLENOCK_00188	CDS	2757	btuB_1			Vitamin B12 transporter BtuB
ALLENOCK_00189	CDS	558	dhfrIII	1.5.1.3		Dihydrofolate reductase type 3
ALLENOCK_00190	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
ALLENOCK_00191	CDS	978	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
ALLENOCK_00192	CDS	1833	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
ALLENOCK_00193	CDS	453	rpiB	5.3.1.6	COG0698	Ribose-5-phosphate isomerase B
ALLENOCK_00194	CDS	2043	pepO	3.4.24.-	COG3590	Neutral endopeptidase
ALLENOCK_00195	CDS	351				hypothetical protein
ALLENOCK_00196	CDS	792				hypothetical protein
ALLENOCK_00197	CDS	1470				hypothetical protein
ALLENOCK_00198	CDS	1008				hypothetical protein
ALLENOCK_00199	CDS	903				hypothetical protein
ALLENOCK_00200	CDS	3561				hypothetical protein
ALLENOCK_00201	CDS	903				hypothetical protein
ALLENOCK_00202	CDS	867				hypothetical protein
ALLENOCK_00203	CDS	984				hypothetical protein
ALLENOCK_00204	CDS	1662				hypothetical protein
ALLENOCK_00205	CDS	927	pknD	2.7.11.1		Serine/threonine-protein kinase PknD
ALLENOCK_00206	CDS	579				hypothetical protein
ALLENOCK_00207	CDS	114				hypothetical protein
ALLENOCK_00208	CDS	2079				hypothetical protein
ALLENOCK_00209	CDS	996	gnu	5.1.3.26	COG0451	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase
ALLENOCK_00210	CDS	300				hypothetical protein
ALLENOCK_00211	CDS	276				hypothetical protein
ALLENOCK_00212	CDS	765		2.4.1.-		PGL/p-HBAD biosynthesis glycosyltransferase
ALLENOCK_00213	CDS	1233				hypothetical protein
ALLENOCK_00214	CDS	1104				hypothetical protein
ALLENOCK_00215	CDS	1116				hypothetical protein
ALLENOCK_00216	CDS	1485				hypothetical protein
ALLENOCK_00217	CDS	528	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
ALLENOCK_00218	CDS	1053				hypothetical protein
ALLENOCK_00219	CDS	1242	gtfA	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
ALLENOCK_00220	CDS	915				hypothetical protein
ALLENOCK_00221	CDS	1317	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
ALLENOCK_00222	CDS	1536				hypothetical protein
ALLENOCK_00223	CDS	999	mdh_1	1.1.1.37		Malate dehydrogenase
ALLENOCK_00224	CDS	957	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
ALLENOCK_00225	CDS	2499	pacS	7.2.2.8		putative copper-transporting ATPase PacS
ALLENOCK_00226	CDS	1317	lysC	2.7.2.4	COG0527	Lysine-sensitive aspartokinase 3
ALLENOCK_00227	CDS	1146	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
ALLENOCK_00228	CDS	1047	xsa			Xylosidase/arabinosidase
ALLENOCK_00229	CDS	1167				hypothetical protein
ALLENOCK_00230	CDS	1569				hypothetical protein
ALLENOCK_00231	CDS	885				hypothetical protein
ALLENOCK_00232	CDS	1446	egtB_1	1.14.99.50		Hercynine oxygenase
ALLENOCK_00233	CDS	990				hypothetical protein
ALLENOCK_00234	CDS	687				hypothetical protein
ALLENOCK_00235	CDS	1422	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
ALLENOCK_00236	CDS	531				hypothetical protein
ALLENOCK_00237	CDS	573	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
ALLENOCK_00238	CDS	1278	fucP_1		COG0738	L-fucose-proton symporter
ALLENOCK_00239	CDS	1167	hldE	2.7.7.70		Bifunctional protein HldE
ALLENOCK_00240	CDS	942	fcl	1.1.1.271	COG0451	GDP-L-fucose synthase
ALLENOCK_00241	CDS	594	sodB	1.15.1.1	COG0605	Superoxide dismutase [Mn/Fe]
ALLENOCK_00242	CDS	1191				hypothetical protein
ALLENOCK_00243	CDS	3126	czcA			Cobalt-zinc-cadmium resistance protein CzcA
ALLENOCK_00244	CDS	1158				hypothetical protein
ALLENOCK_00245	CDS	642				hypothetical protein
ALLENOCK_00246	CDS	612				hypothetical protein
ALLENOCK_00247	CDS	144				hypothetical protein
ALLENOCK_00248	CDS	2880	uvrA_1		COG0178	UvrABC system protein A
ALLENOCK_00249	CDS	930	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
ALLENOCK_00250	CDS	1503				hypothetical protein
ALLENOCK_00251	CDS	849				hypothetical protein
ALLENOCK_00252	CDS	1041				hypothetical protein
ALLENOCK_00253	CDS	369				hypothetical protein
ALLENOCK_00254	CDS	933	dusC	1.3.1.-		tRNA-dihydrouridine(16) synthase
ALLENOCK_00255	CDS	1524	trkH		COG0168	Trk system potassium uptake protein TrkH
ALLENOCK_00256	CDS	1335	trkA		COG0569	Trk system potassium uptake protein TrkA
ALLENOCK_00257	CDS	1950	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
ALLENOCK_00258	CDS	183				hypothetical protein
ALLENOCK_00259	CDS	303				hypothetical protein
ALLENOCK_00260	CDS	351				hypothetical protein
ALLENOCK_00261	CDS	213				hypothetical protein
ALLENOCK_00262	CDS	198				hypothetical protein
ALLENOCK_00263	CDS	669	kdgA		COG0800	KHG/KDPG aldolase
ALLENOCK_00264	CDS	1023	iolC	2.7.1.92		5-dehydro-2-deoxygluconokinase
ALLENOCK_00265	CDS	1884	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
ALLENOCK_00266	CDS	252				hypothetical protein
ALLENOCK_00267	CDS	621				hypothetical protein
ALLENOCK_00268	CDS	498				hypothetical protein
ALLENOCK_00269	CDS	1038				hypothetical protein
ALLENOCK_00270	CDS	555				hypothetical protein
ALLENOCK_00271	CDS	1383				hypothetical protein
ALLENOCK_00272	CDS	756	tpiA	5.3.1.1		Triosephosphate isomerase
ALLENOCK_00273	CDS	561				hypothetical protein
ALLENOCK_00274	CDS	786		1.-.-.-	COG1028	putative oxidoreductase
ALLENOCK_00275	CDS	1110		3.6.-.-	COG1703	putative GTPase
ALLENOCK_00276	CDS	810				hypothetical protein
ALLENOCK_00277	CDS	810	wbbD	2.4.1.303	COG0463	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase
ALLENOCK_00278	CDS	873	wbnK	2.4.1.308		O-antigen biosynthesis glycosyltransferase WbnK
ALLENOCK_00279	CDS	795	wbnI	2.4.1.309		O-antigen biosynthesis glycosyltransferase WbnI
ALLENOCK_00280	CDS	1095				hypothetical protein
ALLENOCK_00281	CDS	1467				hypothetical protein
ALLENOCK_00282	CDS	513	dapH_2	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
ALLENOCK_00283	CDS	1299	wzxE_1			Lipid III flippase
ALLENOCK_00284	CDS	957				hypothetical protein
ALLENOCK_00285	CDS	414				hypothetical protein
ALLENOCK_00286	CDS	1293				hypothetical protein
ALLENOCK_00287	CDS	1014	korB	1.2.7.3	COG1013	2-oxoglutarate oxidoreductase subunit KorB
ALLENOCK_00288	CDS	1845	korA_1	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
ALLENOCK_00289	CDS	1362	pyrC	3.5.2.3	COG0044	Dihydroorotase
ALLENOCK_00290	CDS	738	ppm1	2.4.1.-		Polyprenol monophosphomannose synthase
ALLENOCK_00291	CDS	1194		2.6.1.1		Aspartate/prephenate aminotransferase
ALLENOCK_00292	CDS	894				hypothetical protein
ALLENOCK_00293	CDS	582				hypothetical protein
ALLENOCK_00294	CDS	525	nfrA	1.6.-.-	COG0778	NADPH-dependent oxidoreductase
ALLENOCK_00295	CDS	957	rgtE	2.4.1.-	COG0463	Dodecaprenyl-phosphate galacturonate synthase
ALLENOCK_00296	CDS	561				hypothetical protein
ALLENOCK_00297	CDS	786	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
ALLENOCK_00298	CDS	2322		3.2.1.21	COG1472	Beta-glucosidase BoGH3B
ALLENOCK_00299	CDS	1260				hypothetical protein
ALLENOCK_00300	CDS	1677				hypothetical protein
ALLENOCK_00301	CDS	3192	susC_1			TonB-dependent receptor SusC
ALLENOCK_00302	CDS	837	glcA	3.2.1.39		Glucan endo-1,3-beta-glucosidase A1
ALLENOCK_00303	CDS	3966	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
ALLENOCK_00304	CDS	1041				hypothetical protein
ALLENOCK_00305	CDS	1020				hypothetical protein
ALLENOCK_00306	CDS	747	nfrA2	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
ALLENOCK_00307	CDS	120				hypothetical protein
ALLENOCK_00308	CDS	3885				hypothetical protein
ALLENOCK_00309	CDS	2223				hypothetical protein
ALLENOCK_00310	CDS	2262				hypothetical protein
ALLENOCK_00311	CDS	1707	caiA	1.3.8.13		Crotonobetainyl-CoA reductase
ALLENOCK_00312	CDS	1029	carE	1.3.1.108	COG2025	Caffeyl-CoA reductase-Etf complex subunit CarE
ALLENOCK_00313	CDS	873	carD	1.3.1.108	COG2086	Caffeyl-CoA reductase-Etf complex subunit CarD
ALLENOCK_00314	CDS	1404	purF_1	2.4.2.14	COG0034	Amidophosphoribosyltransferase
ALLENOCK_00315	CDS	3702	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
ALLENOCK_00316	CDS	1362	tig	5.2.1.8	COG0544	Trigger factor
ALLENOCK_00317	CDS	690	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
ALLENOCK_00318	CDS	1251	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
ALLENOCK_00319	CDS	2184	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
ALLENOCK_00320	CDS	870	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
ALLENOCK_00321	CDS	591	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
ALLENOCK_00322	CDS	732	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
ALLENOCK_00323	CDS	765	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
ALLENOCK_00324	CDS	600	hisI	3.5.4.19		Histidine biosynthesis bifunctional protein HisIE
ALLENOCK_00325	CDS	678	ftsE		COG2884	Cell division ATP-binding protein FtsE
ALLENOCK_00326	CDS	1437	amyE	3.2.1.1		Alpha-amylase
ALLENOCK_00327	CDS	222				hypothetical protein
ALLENOCK_00328	CDS	1287				hypothetical protein
ALLENOCK_00329	CDS	828	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
ALLENOCK_00330	CDS	2016				hypothetical protein
ALLENOCK_00331	CDS	1476				hypothetical protein
ALLENOCK_00332	CDS	1710	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
ALLENOCK_00333	CDS	612				hypothetical protein
ALLENOCK_00334	CDS	1314	bepC_1			Outer membrane efflux protein BepC
ALLENOCK_00335	CDS	1101	mdtA			Multidrug resistance protein MdtA
ALLENOCK_00336	CDS	1254	macB_1	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
ALLENOCK_00337	CDS	1221	macB_2	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
ALLENOCK_00338	CDS	732	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
ALLENOCK_00339	CDS	681				hypothetical protein
ALLENOCK_00340	CDS	669				hypothetical protein
ALLENOCK_00341	CDS	666				hypothetical protein
ALLENOCK_00342	CDS	1956				hypothetical protein
ALLENOCK_00343	CDS	2097	uvrB			UvrABC system protein B
ALLENOCK_00344	tRNA	75				tRNA-Arg(tct)
ALLENOCK_00345	CDS	120				hypothetical protein
ALLENOCK_00346	CDS	537				hypothetical protein
ALLENOCK_00347	CDS	1074				hypothetical protein
ALLENOCK_00348	CDS	204				hypothetical protein
ALLENOCK_00349	CDS	792				hypothetical protein
ALLENOCK_00350	CDS	261				hypothetical protein
ALLENOCK_00351	CDS	786	rhaR_2			HTH-type transcriptional activator RhaR
ALLENOCK_00352	CDS	618	cat3_1	2.3.1.28		Chloramphenicol acetyltransferase 3
ALLENOCK_00353	CDS	150				hypothetical protein
ALLENOCK_00354	tRNA	74				tRNA-Lys(ttt)
ALLENOCK_00355	CDS	1314	xerD_1			Tyrosine recombinase XerD
ALLENOCK_00356	CDS	294				hypothetical protein
ALLENOCK_00357	CDS	300				hypothetical protein
ALLENOCK_00358	CDS	1968	topA_1	5.6.2.1		DNA topoisomerase 1
ALLENOCK_00359	CDS	1494				hypothetical protein
ALLENOCK_00360	CDS	378				hypothetical protein
ALLENOCK_00361	CDS	453				hypothetical protein
ALLENOCK_00362	CDS	5994	mutS_2			DNA mismatch repair protein MutS
ALLENOCK_00363	CDS	300				hypothetical protein
ALLENOCK_00364	CDS	2466	lon	3.4.21.53		Lon protease
ALLENOCK_00365	CDS	588				hypothetical protein
ALLENOCK_00366	CDS	141				hypothetical protein
ALLENOCK_00367	CDS	1203				hypothetical protein
ALLENOCK_00368	CDS	282				hypothetical protein
ALLENOCK_00369	CDS	135				hypothetical protein
ALLENOCK_00370	CDS	1329				hypothetical protein
ALLENOCK_00371	CDS	1296	tyrS	6.1.1.1		Tyrosine--tRNA ligase
ALLENOCK_00372	CDS	642	fbiB	6.3.2.34		Bifunctional F420 biosynthesis protein FbiB
ALLENOCK_00373	CDS	2364	mrcA		COG5009	Penicillin-binding protein 1A
ALLENOCK_00374	CDS	573	dapH_3	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
ALLENOCK_00375	CDS	1353				hypothetical protein
ALLENOCK_00376	CDS	1596				hypothetical protein
