Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
fig|2005473.105.peg.638	QCD35398.1|GH13_28	99.8	476	1	0	1	476	1	476	6.4e-287	990.3
fig|2005473.105.peg.650	CAE6110940.1|CE8	46.1	540	267	11	32	563	264	787	1.0e-126	458.4
fig|2005473.105.peg.667	QCD35372.1|GH23	99.4	316	2	0	1	316	18	333	3.2e-178	628.6
fig|2005473.105.peg.679	2074615|Phoaln1_GeneCatalog_proteins_20160826.aa.fasta|GT1	33.7	1255	675	35	35	1208	53	1231	2.3e-155	554.7
fig|2005473.105.peg.699	QCD35341.1|GH43_5	99.7	338	1	0	16	353	1	338	2.2e-207	725.7
fig|2005473.105.peg.720	AIF26613.1|GT119	68.5	534	162	3	79	612	1	528	1.3e-218	763.8
fig|2005473.105.peg.721	QCD35317.1|GT119	98.7	462	6	0	1	462	27	488	1.5e-248	862.8
fig|2005473.105.peg.734	AGL63717.1|GT4	51.1	622	288	8	191	810	107	714	2.1e-168	597.4
fig|2005473.105.peg.738	QCD35300.1|CBM48|CBM98|GH13_47	96.2	927	35	0	1	927	1	927	0.0e+00	1775.0
fig|2005473.105.peg.745	1161|Capcor1_GeneCatalog_proteins_20160826.aa.fasta|GH76	45.2	849	446	7	5	843	6	845	4.7e-195	686.0
fig|2005473.105.peg.765	QCD35275.1|GH2	98.9	811	9	0	1	811	1	811	0.0e+00	1669.8
fig|2005473.105.peg.779	7787|Pocchl1_GeneCatalog_proteins_20170916.aa.fasta|GH71	37.7	726	366	8	159	800	367	1090	1.0e-119	435.6
fig|2005473.105.peg.796	QCD35244.1|GT2	98.2	332	6	0	1	332	1	332	9.2e-184	647.1
fig|2005473.105.peg.800	ADD61491.1|CBM91|GH43_10	72.6	274	75	0	24	297	482	755	6.4e-115	418.3
fig|2005473.105.peg.814	5151|Pocchl1_GeneCatalog_proteins_20170916.aa.fasta|GH38	41.9	485	267	7	1	473	1	482	3.2e-103	380.2
fig|2005473.105.peg.829	QCD35215.1|GT3	98.4	550	9	0	1	550	1	550	0.0e+00	1112.1
fig|2005473.105.peg.830	QCD35214.1|GT35	99.4	852	5	0	1	852	1	852	0.0e+00	1748.8
fig|2005473.105.peg.844	CAG7911095.1|GH5_11	38.6	900	504	18	3	863	579	1468	3.7e-184	649.8
fig|2005473.105.peg.846	QCD35198.1|GH35	98.8	565	7	0	1	565	1	565	0.0e+00	1157.9
fig|2005473.105.peg.847	QCD35197.1|CE20	97.7	571	13	0	1	571	1	571	0.0e+00	1165.2
fig|2005473.105.peg.849	QCD35195.1|GH10	99.2	386	3	0	1	386	1	386	3.9e-226	788.1
fig|2005473.105.peg.850	QCD35194.1|GH43_1	99.7	327	1	0	1	327	2	328	1.8e-203	712.6
fig|2005473.105.peg.851	QCD35193.1|GH67	99.6	673	3	0	1	673	1	673	0.0e+00	1418.3
fig|2005473.105.peg.864	QCD35180.1|GT2	96.8	311	10	0	1	311	1	311	8.9e-181	637.1
fig|2005473.105.peg.865	QCD35179.1|GT131	91.3	403	35	0	1	403	1	403	3.7e-187	658.7
fig|2005473.105.peg.872	VEJ19452.1|GT4	65.9	340	106	3	5	343	371	701	2.4e-121	439.9
fig|2005473.105.peg.874	AOP03843.1|GT0	57.4	383	152	3	3	374	20	402	1.5e-121	440.7
fig|2005473.105.peg.875	QCD35169.1|GT4	99.8	401	1	0	1	401	1	401	4.6e-238	827.8
fig|2005473.105.peg.903	QCD35146.1|CBM91|GH43_10	98.4	691	11	0	7	697	1	691	0.0e+00	1466.8
fig|2005473.105.peg.931	QCD35118.1|CBM50	89.6	617	64	0	1	617	1	617	1.1e-283	979.9
fig|2005473.105.peg.937	QCD37025.1|GT2	93.6	264	17	0	2	265	1	264	1.1e-142	510.4
fig|2005473.105.peg.938	QCD35112.1|GT2	95.2	311	15	0	1	311	1	311	3.5e-169	598.6
fig|2005473.105.peg.953	QCD35098.1|GT2	98.4	316	5	0	1	316	2	317	1.6e-172	609.8
fig|2005473.105.peg.954	XAQ46651.1|GT2	48.3	478	230	3	1	478	1	461	3.7e-128	463.0
fig|2005473.105.peg.958	CAE6204650.1|GH28	49.8	600	293	3	2	594	745	1343	1.3e-172	610.9
fig|2005473.105.peg.964	QCD35086.1|GH13_38	99.5	572	3	0	1	572	11	582	0.0e+00	1216.4
fig|2005473.105.peg.966	QCD35084.1|GH43_17	96.7	331	10	1	1	331	1	330	2.3e-195	685.6
fig|2005473.105.peg.976	AGL64345.1|GT2	49.7	582	288	3	424	1001	275	855	4.8e-151	540.0
fig|2005473.105.peg.1050	QCD36762.1|GH2	98.9	932	10	0	1	932	1	932	0.0e+00	1898.2
fig|2005473.105.peg.1063	QCD36752.1|CBM32|GH2	98.4	838	13	0	1	838	1	838	0.0e+00	1736.5
fig|2005473.105.peg.1069	QCD36745.1|GH13_48	98.3	477	8	0	1	477	1	477	2.8e-282	974.9
fig|2005473.105.peg.1096	AST56160.1|GH35	32.3	830	501	21	212	989	714	1534	2.8e-106	391.3
fig|2005473.105.peg.1098	QCD36721.1|GH32	97.6	613	15	0	1	613	1	613	0.0e+00	1232.6
fig|2005473.105.peg.1106	AMJ20771.1|GH13_26	37.7	947	473	23	2	922	4	859	5.7e-167	592.8
fig|2005473.105.peg.1118	QCD36703.1|GT2	100.0	254	0	0	1	254	1	254	6.5e-145	517.7
fig|2005473.105.peg.1119	QCD36702.1|GT2	98.2	273	5	0	1	273	1	273	6.5e-159	564.3
fig|2005473.105.peg.1121	QCD36700.1|GT2	97.8	268	6	0	1	268	7	274	3.4e-152	542.0
fig|2005473.105.peg.1122	QCD36699.1|GT2	94.4	340	19	0	1	340	1	340	1.6e-191	672.9
fig|2005473.105.peg.1123	QCD36698.1|GT2	100.0	322	0	0	1	322	1	322	5.4e-189	664.5
fig|2005473.105.peg.1137	QCD36685.1|CE4	100.0	205	0	0	1	205	1	205	2.2e-119	432.6
fig|2005473.105.peg.1233	QCD36643.1|GH13_37	99.6	461	2	0	1	461	13	473	3.9e-281	971.1
fig|2005473.105.peg.1234	QCD36642.1|GH31	98.8	781	9	0	1	781	13	793	0.0e+00	1600.1
fig|2005473.105.peg.1257	QCD36781.1|CBM48|CE0|GH10	99.7	717	2	0	1	717	1	717	0.0e+00	1508.0
fig|2005473.105.peg.1258	QCD36790.1|GH97	97.0	699	21	0	1	699	1	699	0.0e+00	1411.7
fig|2005473.105.peg.1266	QCD36798.1|GH2	98.9	1025	11	0	1	1025	1	1025	0.0e+00	2126.3
fig|2005473.105.peg.1270	WOF98121.1|GH115	66.9	827	264	6	15	832	6	831	0.0e+00	1176.4
fig|2005473.105.peg.1294	QCD36824.1|GT119	99.8	438	1	0	1	438	1	438	2.8e-236	822.0
fig|2005473.105.peg.1295	QCD36825.1|GT28	99.2	370	3	0	1	370	1	370	8.9e-204	713.8
fig|2005473.105.peg.1296	WOK04910.1|GT28	47.5	444	226	4	4	445	380	818	2.0e-104	384.0
fig|2005473.105.peg.1313	QCD36841.1|GT4	99.5	416	2	0	1	416	1	416	8.1e-246	853.6
fig|2005473.105.peg.1317	QCD37124.1|GT9	99.7	347	1	0	1	347	7	353	2.6e-205	718.8
fig|2005473.105.peg.1322	AWZ17133.1|GH13_30	35.1	1148	638	22	3	1110	405	1485	5.7e-183	646.4
fig|2005473.105.peg.1332	QCD35860.1|GH154	99.6	675	3	0	1	675	1	675	0.0e+00	1407.1
fig|2005473.105.peg.1338	QBQ55251.1|CBM50	32.8	914	517	18	9	889	40	889	8.5e-107	392.9
fig|2005473.105.peg.1340	QCD35869.1|GH133	96.0	781	31	0	1	781	1	781	0.0e+00	1549.6
fig|2005473.105.peg.1344	WFE21797.1|CBM2|CBM57	47.7	436	216	7	22	450	396	826	6.6e-116	422.2
fig|2005473.105.peg.1346	QCD35875.1|GH43_35	99.6	543	2	0	1	543	1	543	0.0e+00	1135.6
fig|2005473.105.peg.1365	QCD35905.1|CBM50	99.1	318	3	0	1	318	1	318	1.6e-177	626.3
fig|2005473.105.peg.1455	QCD35939.1|GH13_19	98.6	566	8	0	1	566	1	566	0.0e+00	1186.4
fig|2005473.105.peg.1487	2817|Capep1_GeneCatalog_proteins_20160826.aa.fasta|GT2	53.0	472	212	4	3	464	9	480	2.5e-134	483.4
fig|2005473.105.peg.1505	CAG7868751.1|GT106	51.8	529	245	2	4	530	30	550	3.5e-156	556.2
fig|2005473.105.peg.1516	ASB36752.1|GT2	78.3	249	52	1	1	247	1	249	3.1e-110	402.5
fig|2005473.105.peg.1527	QCD36001.1|GT4	97.6	421	10	0	1	421	1	421	2.8e-238	828.6
fig|2005473.105.peg.1528	QCD36002.1|GT2	96.4	337	12	0	1	337	1	337	6.1e-191	671.0
fig|2005473.105.peg.1529	QCD36003.1|GT2	96.3	326	12	0	1	326	1	326	6.7e-179	630.9
fig|2005473.105.peg.1539	CAD7252417.1|GH13_48	52.9	595	267	8	129	717	341	928	1.3e-161	574.7
fig|2005473.105.peg.1549	CUS04494.1|GH39	49.3	1244	592	18	22	1232	16	1253	0.0e+00	1076.6
fig|2005473.105.peg.1568	QCD36089.1|GH105|GH154	99.7	772	2	0	1	772	1	772	0.0e+00	1628.6
fig|2005473.105.peg.1579	UVO94209.1|GH28	68.7	447	139	1	18	463	15	461	6.8e-185	651.4
fig|2005473.105.peg.1580	ALA72155.1|CBM91|GH43_10	70.5	546	160	1	5	549	4	549	1.0e-248	863.6
fig|2005473.105.peg.1581	QCD37075.1|GH88	96.9	321	4	1	13	333	83	397	2.4e-179	632.5
fig|2005473.105.peg.1595	QCD36115.1|GT2	98.2	331	6	0	1	331	1	331	2.7e-191	672.2
fig|2005473.105.peg.1600	CAN65674.1|GH28	43.4	546	279	7	73	614	111	630	5.9e-126	456.1
fig|2005473.105.peg.1641	QCD36159.1|GH133	99.1	647	6	0	1	647	1	647	0.0e+00	1331.2
fig|2005473.105.peg.1642	QCD36160.1|GT4	99.8	420	1	0	1	420	1	420	6.5e-251	870.5
fig|2005473.105.peg.1643	QCD36161.1|GH57	99.8	436	1	0	1	436	1	436	8.2e-258	893.6
fig|2005473.105.peg.1665	QCD36179.1|GH127	99.9	819	1	0	1	819	1	819	0.0e+00	1703.7
fig|2005473.105.peg.1666	QCD36180.1|GH97	98.8	896	11	0	1	896	12	907	0.0e+00	1843.9
fig|2005473.105.peg.1667	QCD36181.1|CBM32|GH43_34	99.4	801	5	0	1	801	1	801	0.0e+00	1705.3
fig|2005473.105.peg.1668	QCD36182.1|GH127	99.1	802	7	0	1	802	1	802	0.0e+00	1664.8
fig|2005473.105.peg.1682	QCD37019.1|GH13_14	98.6	641	9	0	33	673	1	641	0.0e+00	1303.9
fig|2005473.105.peg.1692	QYO62262.1|GH13	62.1	346	129	1	1	346	1	344	6.3e-113	412.5
fig|2005473.105.peg.1886	QCD37014.1|GH146	98.8	804	10	0	1	804	2	805	0.0e+00	1673.3
fig|2005473.105.peg.1906	QCD34933.1|GH2	97.9	796	17	0	1	796	1	796	0.0e+00	1652.9
fig|2005473.105.peg.1932	QCD34909.1|CBM20|GH77	98.9	892	10	0	1	892	1	892	0.0e+00	1890.9
fig|2005473.105.peg.1981	1152625|Rusear1_GeneCatalog_proteins_20190529.aa.fasta|GT9	56.7	462	200	0	11	472	286	747	5.9e-152	542.0
fig|2005473.105.peg.2018	QCD36407.1|GH2	97.7	794	18	0	1	794	1	794	0.0e+00	1614.4
fig|2005473.105.peg.2023	QCD36412.1|CBM48|GH13_8	99.4	671	4	0	1	671	1	671	0.0e+00	1424.5
fig|2005473.105.peg.2035	QCD36425.1|GT19	99.5	384	2	0	1	384	1	384	1.2e-219	766.5
fig|2005473.105.peg.2049	QCD36439.1|GT0	99.4	314	2	0	1	314	1	314	2.1e-190	669.1
fig|2005473.105.peg.2050	QCD36440.1|GT4	99.3	415	3	0	1	415	1	415	5.6e-247	857.4
fig|2005473.105.peg.2060	QCD36451.1|CBM6|GH43_29	96.9	454	14	0	1	454	1	454	3.0e-270	934.9
fig|2005473.105.peg.2062	WZL80548.1|CBM9	33.1	831	515	15	52	866	349	1154	9.1e-122	442.6
fig|2005473.105.peg.2064	QCD36455.1|GH29	98.4	435	7	0	8	442	1	435	7.5e-266	920.2
fig|2005473.105.peg.2066	UKK52399.1|GH29	73.5	581	124	2	52	632	29	579	6.8e-268	927.5
fig|2005473.105.peg.2067	QCD36457.1|GH29	98.5	546	8	0	10	555	1	546	0.0e+00	1160.2
fig|2005473.105.peg.2069	QCD36459.1|GH25	99.6	244	1	0	1	244	1	244	4.2e-141	505.0
fig|2005473.105.peg.2084	QCD36472.1|GH3	98.4	770	12	0	1	770	8	777	0.0e+00	1539.6
fig|2005473.105.peg.2090	QCD34403.1|GH43_34	99.7	333	1	0	1	333	1	333	2.5e-205	718.8
fig|2005473.105.peg.2091	QCD34402.1|GH30_2	99.2	502	4	0	1	502	1	502	6.5e-306	1053.5
fig|2005473.105.peg.2104	QCD36484.1|GT2	98.5	323	5	0	1	323	1	323	6.2e-185	651.0
fig|2005473.105.peg.2118	AXV50356.1|GH43_3	63.2	361	128	2	29	384	331	691	2.9e-133	479.6
fig|2005473.105.peg.2135	QCD36513.1|GH43_19	98.5	335	5	0	1	335	1	335	6.2e-196	687.6
fig|2005473.105.peg.2146	QCD36520.1|GH146	98.5	790	12	0	1	790	1	790	0.0e+00	1630.9
fig|2005473.105.peg.2148	QGN28876.1|GT119	45.6	491	246	7	17	499	226	703	9.3e-115	418.7
fig|2005473.105.peg.2151	QCD36524.1|GH51_1	99.6	515	2	0	1	515	1	515	0.0e+00	1075.5
fig|2005473.105.peg.2152	QCD36525.1|GH43_29	98.8	326	4	0	1	326	1	326	3.8e-198	694.9
fig|2005473.105.peg.2153	QCD36526.1|GH51_2	99.7	661	2	0	1	661	1	661	0.0e+00	1375.9
fig|2005473.105.peg.2154	QCD36527.1|GH43_4	98.8	495	6	0	1	495	1	495	1.0e-303	1046.2
fig|2005473.105.peg.2161	QCD36533.1|GH43_4	99.1	636	6	0	1	636	1	636	0.0e+00	1337.4
fig|2005473.105.peg.2166	QCD36538.1|GH51_2	99.1	669	6	0	1	669	1	669	0.0e+00	1393.6
fig|2005473.105.peg.2186	QCD36559.1|GH51_2	98.7	823	11	0	1	823	1	823	0.0e+00	1651.7
fig|2005473.105.peg.2187	QCD36560.1|GH16_3|GH43_24	98.6	628	9	0	1	628	9	636	0.0e+00	1355.1
fig|2005473.105.peg.2192	11468|Collup1_GeneCatalog_proteins_20180803.aa.fasta|GT2	59.9	344	137	1	4	346	1785	2128	4.1e-118	429.1
fig|2005473.105.peg.2210	UCB40856.1|CBM48|CE0	84.6	382	59	0	1	382	1	382	7.6e-198	694.1
fig|2005473.105.peg.2212	QCD35765.1|CBM13|GH43_7	99.4	483	3	0	3	485	1	483	3.6e-293	1011.1
fig|2005473.105.peg.2239	AVI59029.1|GT2	46.7	437	226	3	1	436	1	431	3.4e-109	399.8
fig|2005473.105.peg.2263	QCD35720.1|CE11	99.8	460	1	0	1	460	1	460	5.4e-267	924.1
fig|2005473.105.peg.2277	QCD35705.1|GH35|GH43_24	98.7	1105	14	0	1	1105	1	1105	0.0e+00	2322.7
fig|2005473.105.peg.2292	CAD7235639.1|GT2	43.6	544	295	7	10	550	135	669	8.2e-127	458.8
fig|2005473.105.peg.2295	ASB37997.1|GH23	68.9	463	138	3	1	460	1	460	9.8e-184	647.5
fig|2005473.105.peg.2298	CAK9710737.1|CBM48|CE0|GH10	77.1	345	78	1	25	368	396	740	2.3e-159	566.2
fig|2005473.105.peg.2407	QUR49622.1|GT122	69.6	385	116	1	1	385	2	385	5.6e-148	528.5
fig|2005473.105.peg.2408	QUR49623.1|GT4	62.2	373	141	0	1	373	1	373	1.2e-134	484.2
fig|2005473.105.peg.2409	WET64703.1|GT4	57.6	363	150	4	4	362	2	364	1.6e-117	427.2
fig|2005473.105.peg.2410	WET64704.1|GT4	52.9	342	160	1	31	372	1	341	8.3e-104	381.7
fig|2005473.105.peg.2411	WET64705.1|GT4	76.9	359	83	0	1	359	1	359	8.2e-162	574.3
fig|2005473.105.peg.2432	AHC21644.1|GH1	47.8	517	267	1	4	520	8	521	1.9e-138	497.3
fig|2005473.105.peg.2440	QCD37041.1|GT4	98.3	402	7	0	1	402	1	402	3.2e-231	805.1
fig|2005473.105.peg.2451	QCD36383.1|CE6|GH51_2	99.3	1019	7	0	1	1019	1	1019	0.0e+00	2093.9
fig|2005473.105.peg.2452	QCD37093.1|PL42	99.1	430	4	0	1	430	1	430	7.3e-258	893.6
fig|2005473.105.peg.2499	AMJ18631.1|GT2	48.8	1183	569	15	9	1174	3	1165	0.0e+00	1085.5
fig|2005473.105.peg.2546	13268|Pensub1_GeneCatalog_proteins_20160929.aa.fasta|GH131	45.4	522	262	8	3	501	15	536	3.8e-120	436.4
fig|2005473.105.peg.2556	QCD36286.1|GT30	100.0	410	0	0	1	410	1	410	7.5e-244	847.0
fig|2005473.105.peg.2568	ANU62627.1|CBM50|GH23	74.7	435	106	2	1	432	1	434	1.2e-178	630.9
fig|2005473.105.peg.2597	XAJ54022.1|GT0	44.4	567	302	4	5	568	1	557	2.7e-138	496.9
fig|2005473.105.peg.2624	118117|Volvo1_GeneCatalog_proteins_20130703.aa.fasta|CE4	42.9	702	381	12	8	696	1033	1727	1.2e-151	541.6
fig|2005473.105.peg.2655	CCO12112.1|GH13_31	67.5	419	134	2	3	419	4	422	3.5e-159	565.8
fig|2005473.105.peg.2668	QCD35816.1|GT5	99.6	269	1	0	1	269	1	269	2.0e-152	542.7
fig|2005473.105.peg.2711	QCD37057.1|GH43_35	99.1	680	6	0	11	690	1	680	0.0e+00	1431.4
fig|2005473.105.peg.2744	AMJ20543.1|GH13_11	51.7	420	183	3	7	423	7	409	5.1e-118	429.1
